"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17201","0","10","70","0","2019","1","","Winnebago County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",5900,124938,124355,124694,1591102802,774820399,16249069,982,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-80,-1.3,285,0.2,-459,-0.4,-1021,-0.8,59562559,3.9,10749035,1.4,-3202917,-16.5,40,4.2
"17201","0","10","70","0","2019","2","","Winnebago County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",5936,125685,126640,127840,1470601579,283197066,6125297,893,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-24,-0.4,-918,-0.7,-1578,-1.2,-1238,-1.0,27905703,1.9,-6497983,-2.2,-1597762,-20.7,26,3.0
"17201","1","10","71","0","2019","1","","Winnebago County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",34,813,825,827,13530370,0,0,1267,"",0.98,0.34,0.35,0.35,0.34,0.00,0.00,1.00,"",1,3.0,-23,-2.8,-1,-0.1,7,0.9,-4999,0.0,0,0.0,0,0.0,9,0.7
"17201","1","10","71","0","2019","2","","Winnebago County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",33,837,823,819,14868730,0,0,1384,"",0.95,0.35,0.34,0.34,0.36,0.00,0.00,1.04,"",0,0.0,11,1.3,13,1.6,-1,-0.1,488297,3.4,0,0.0,0,0.0,33,2.4
"17201","1","102","72","0","2019","1","","Winnebago County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",34,813,825,827,13530370,0,0,1267,"",0.98,0.35,0.35,0.35,0.35,0.00,0.00,1.00,"",1,3.0,-23,-2.8,-1,-0.1,7,0.9,-4999,0.0,0,0.0,0,0.0,9,0.7
"17201","1","102","72","0","2019","2","","Winnebago County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",33,837,823,819,14868730,0,0,1384,"",0.95,0.36,0.35,0.34,0.36,0.00,0.00,1.04,"",0,0.0,11,1.3,13,1.6,-1,-0.1,488297,3.4,0,0.0,0,0.0,33,2.4
"17201","1","1021","73","0","2019","1","","Winnebago County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,467,472,469,6955576,0,0,1140,"",0.74,0.81,0.82,0.82,0.99,0.00,0.00,1.22,"",0,0.0,-18,-3.7,-2,-0.4,-5,-1.1,245659,3.7,0,0.0,0,0.0,59,5.5
"17201","1","1021","73","0","2019","2","","Winnebago County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,479,466,458,7759766,0,0,1276,"",0.74,0.84,0.81,0.79,1.01,0.00,0.00,1.25,"",0,0.0,0,0.0,6,1.3,-10,-2.1,95510,1.2,0,0.0,0,0.0,19,1.5
"17201","1","1028","73","0","2019","1","","Winnebago County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",21,346,353,358,6574794,0,0,1435,"",1.50,0.27,0.27,0.28,0.27,0.00,0.00,1.01,"",1,5.0,-5,-1.4,1,0.3,12,3.5,-250658,-3.7,0,0.0,0,0.0,-67,-4.5
"17201","1","1028","73","0","2019","2","","Winnebago County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",20,358,357,361,7108964,0,0,1525,"",1.43,0.28,0.27,0.27,0.29,0.00,0.00,1.04,"",0,0.0,11,3.2,7,2.0,9,2.6,392787,5.8,0,0.0,0,0.0,48,3.2
