"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18000","0","10","50","0","2019","1","","Indiana -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",168536,3032972,3043309,3056520,38145414906,17197013039,278721569,964,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1363,0.8,49866,1.7,45712,1.5,34966,1.2,942809792,2.5,359226316,2.1,-24210053,-8.0,10,1.0
"18000","0","10","50","0","2019","2","","Indiana -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",167705,3068128,3093752,3089802,36472680841,4953257610,79695790,910,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-385,-0.2,29499,1.0,24228,0.8,14233,0.5,1316053271,3.7,54439378,1.1,-5277635,-6.2,27,3.1
"18000","1","10","51","0","2019","1","","Indiana -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1196,38013,38209,38412,655181449,0,0,1319,"",1.20,0.65,0.66,0.66,0.70,0.00,0.00,1.06,"",3,0.3,184,0.5,571,1.5,690,1.8,2269691,0.3,0,0.0,0,0.0,-12,-0.9
"18000","1","10","51","0","2019","2","","Indiana -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1197,38516,38581,38775,740228562,0,0,1474,"",1.22,0.66,0.66,0.66,0.72,0.00,0.00,1.09,"",-3,-0.2,650,1.7,833,2.2,641,1.7,36024015,5.1,0,0.0,0,0.0,45,3.1
"18000","1","102","52","0","2019","1","","Indiana -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1196,38013,38209,38412,655181449,0,0,1319,"",1.21,0.67,0.67,0.67,0.71,0.00,0.00,1.06,"",3,0.3,184,0.5,571,1.5,690,1.8,2269691,0.3,0,0.0,0,0.0,-12,-0.9
"18000","1","102","52","0","2019","2","","Indiana -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1197,38516,38581,38775,740228562,0,0,1474,"",1.23,0.67,0.67,0.67,0.73,0.00,0.00,1.09,"",-3,-0.2,650,1.7,833,2.2,641,1.7,36024015,5.1,0,0.0,0,0.0,45,3.1
"18000","1","1021","53","0","2019","1","","Indiana -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",695,11956,11986,12057,168971554,0,0,1083,"",1.39,0.85,0.85,0.86,1.01,0.00,0.00,1.18,"",2,0.3,-229,-1.9,-41,-0.3,-12,-0.1,4561598,2.8,0,0.0,0,0.0,37,3.5
"18000","1","1021","53","0","2019","2","","Indiana -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",694,12008,12044,12042,192259984,0,0,1229,"",1.41,0.86,0.86,0.86,1.01,0.00,0.00,1.18,"",-4,-0.6,-46,-0.4,20,0.2,20,0.2,3769362,2.0,0,0.0,0,0.0,24,2.0
"18000","1","1023","53","0","2019","1","","Indiana -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",15,141,139,139,3042531,0,0,1676,"",1.14,0.56,0.55,0.55,0.53,0.00,0.00,0.96,"",0,0.0,-9,-6.0,-10,-6.7,-10,-6.7,-544276,-15.2,0,0.0,0,0.0,-172,-9.3
"18000","1","1023","53","0","2019","2","","Indiana -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",15,137,140,140,3126060,0,0,1730,"",1.17,0.55,0.56,0.56,0.53,0.00,0.00,0.95,"",0,0.0,-11,-7.4,-7,-4.8,-5,-3.4,-28790,-0.9,0,0.0,0,0.0,75,4.5
"18000","1","1024","53","0","2019","1","","Indiana -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",19,353,361,362,6476225,0,0,1389,"",0.78,0.25,0.26,0.26,0.25,0.00,0.00,0.98,"",1,5.6,-11,-3.0,-3,-0.8,0,0.0,120218,1.9,0,0.0,0,0.0,43,3.2
"18000","1","1024","53","0","2019","2","","Indiana -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",18,359,356,364,6924977,0,0,1481,"",0.75,0.26,0.25,0.26,0.27,0.00,0.00,1.04,"",0,0.0,0,0.0,-5,-1.4,4,1.1,126320,1.9,0,0.0,0,0.0,28,1.9
"18000","1","1025","53","0","2019","1","","Indiana -- Statewide","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",18,5461,5473,5500,101696748,0,0,1428,"",0.80,0.63,0.62,0.63,0.73,0.00,0.00,1.17,"",0,0.0,79,1.5,42,0.8,100,1.9,2507978,2.5,0,0.0,0,0.0,16,1.1
"18000","1","1025","53","0","2019","2","","Indiana -- Statewide","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",18,5539,5542,5555,119364238,0,0,1656,"",0.81,0.63,0.63,0.64,0.75,0.00,0.00,1.18,"",0,0.0,170,3.2,173,3.2,157,2.9,8377470,7.5,0,0.0,0,0.0,69,4.3
"18000","1","1026","53","0","2019","1","","Indiana -- Statewide","Federal Government","1026 Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",10,154,154,167,2130998,0,0,1035,"",0.40,0.17,0.16,0.18,0.23,0.00,0.00,1.36,"",-1,-9.1,2,1.3,4,2.7,1,0.6,-168694,-7.3,0,0.0,0,0.0,-99,-8.7
"18000","1","1026","53","0","2019","2","","Indiana -- Statewide","Federal Government","1026 Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",9,172,207,225,2269335,0,0,867,"",0.36,0.18,0.20,0.21,0.23,0.00,0.00,1.19,"",-1,-10.0,9,5.5,35,20.3,-3,-1.3,181194,8.7,0,0.0,0,0.0,11,1.3
"18000","1","1027","53","0","2019","1","","Indiana -- Statewide","Federal Government","1027 Other services","State, by Supersector -- by ownership sector","All establishment sizes",3,11,10,10,124279,0,0,925,"",1.10,0.11,0.10,0.10,0.12,0.00,0.00,1.14,"",0,0.0,-1,-8.3,-2,-16.7,-2,-16.7,-11804,-8.7,0,0.0,0,0.0,53,6.1
"18000","1","1027","53","0","2019","2","","Indiana -- Statewide","Federal Government","1027 Other services","State, by Supersector -- by ownership sector","All establishment sizes",3,12,15,15,207032,0,0,1138,"",1.15,0.12,0.15,0.16,0.18,0.00,0.00,1.22,"",0,0.0,0,0.0,4,36.4,4,36.4,42911,26.1,0,0.0,0,0.0,24,2.2
"18000","1","1028","53","0","2019","1","","Indiana -- Statewide","Federal Government","1028 Public administration","State, by Supersector -- by ownership sector","All establishment sizes",435,19937,20086,20177,372739114,0,0,1429,"",1.09,0.63,0.64,0.64,0.65,0.00,0.00,1.02,"",1,0.2,353,1.8,581,3.0,613,3.1,-4195329,-1.1,0,0.0,0,0.0,-54,-3.6
"18000","1","1028","53","0","2019","2","","Indiana -- Statewide","Federal Government","1028 Public administration","State, by Supersector -- by ownership sector","All establishment sizes",439,20289,20277,20434,416076936,0,0,1574,"",1.11,0.64,0.64,0.64,0.67,0.00,0.00,1.05,"",2,0.5,528,2.7,613,3.1,464,2.3,23555548,6.0,0,0.0,0,0.0,49,3.2
"18000","1","1029","53","0","2019","1","","Indiana -- Statewide","Federal Government","1029 Unclassified","State, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",10.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"18000","1","1029","53","0","2019","2","","Indiana -- Statewide","Federal Government","1029 Unclassified","State, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",12.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"18000","1","44-45","54","0","2019","1","","Indiana -- Statewide","Federal Government","NAICS 44-45 Retail trade","State, NAICS Sector -- by ownership sector","All establishment sizes",2,42,43,44,359773,0,0,644,"",0.18,0.05,0.05,0.05,0.06,0.00,0.00,1.30,"",0,0.0,4,10.5,2,4.9,6,15.8,-11871,-3.2,0,0.0,0,0.0,-89,-12.1
"18000","1","44-45","54","0","2019","2","","Indiana -- Statewide","Federal Government","NAICS 44-45 Retail trade","State, NAICS Sector -- by ownership sector","All establishment sizes",2,41,42,42,438441,0,0,809,"",0.18,0.04,0.05,0.05,0.07,0.00,0.00,1.50,"",0,0.0,5,13.9,5,13.5,4,10.5,17054,4.0,0,0.0,0,0.0,-67,-7.6
"18000","1","445","55","0","2019","1","","Indiana -- Statewide","Federal Government","NAICS 445 Food and beverage stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2,42,43,44,359773,0,0,644,"",0.61,0.18,0.18,0.19,0.20,0.00,0.00,1.06,"",0,0.0,4,10.5,2,4.9,6,15.8,-11871,-3.2,0,0.0,0,0.0,-89,-12.1
