"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18015","0","10","70","0","2019","1","","Carroll County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",384,5306,5433,5365,48152532,32889382,257536,690,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.5,162,3.1,311,6.1,156,3.0,1942657,4.2,1468173,4.7,-18353,-6.7,1,0.1
"18015","0","10","70","0","2019","2","","Carroll County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",387,5320,5294,5528,52191805,9037149,84677,746,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.3,40,0.8,-36,-0.7,0,0.0,1688029,3.3,545567,6.4,-5565,-6.2,24,3.3
"18015","1","10","71","0","2019","1","","Carroll County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,62,62,60,804783,0,0,1009,"",3.09,0.61,0.60,0.59,0.68,0.00,0.00,1.13,"",-1,-12.5,-1,-1.6,-4,-6.1,-2,-3.2,-45515,-5.4,0,0.0,0,0.0,-18,-1.8
"18015","1","10","71","0","2019","2","","Carroll County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,62,62,67,869156,0,0,1050,"",3.54,0.61,0.62,0.64,0.59,0.00,0.00,0.94,"",-1,-11.1,-1,-1.6,-3,-4.6,5,8.1,46026,5.6,0,0.0,0,0.0,50,5.0
"18015","1","102","72","0","2019","1","","Carroll County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,62,62,60,804783,0,0,1009,"",3.10,0.62,0.61,0.60,0.69,0.00,0.00,1.13,"",-1,-12.5,-1,-1.6,-4,-6.1,-2,-3.2,-45515,-5.4,0,0.0,0,0.0,-18,-1.8
"18015","1","102","72","0","2019","2","","Carroll County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,62,62,67,869156,0,0,1050,"",3.55,0.63,0.63,0.65,0.60,0.00,0.00,0.94,"",-1,-11.1,-1,-1.6,-3,-4.6,5,8.1,46026,5.6,0,0.0,0,0.0,50,5.0
"18015","1","1021","73","0","2019","1","","Carroll County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,32,30,29,329722,0,0,836,"",3.51,1.30,1.20,1.17,1.55,0.00,0.00,1.27,"",-1,-20.0,-1,-3.0,-3,-9.1,-3,-9.4,-23852,-6.7,0,0.0,0,0.0,3,0.4
"18015","1","1021","73","0","2019","2","","Carroll County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,31,31,32,410824,0,0,1009,"",4.39,1.28,1.29,1.28,1.51,0.00,0.00,1.18,"",-1,-16.7,-2,-6.1,-2,-6.1,1,3.2,15007,3.8,0,0.0,0,0.0,67,7.1
"18015","1","1028","73","0","2019","1","","Carroll County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,30,32,31,475061,0,0,1179,"",3.29,0.55,0.57,0.56,0.66,0.00,0.00,1.18,"",0,0.0,0,0.0,-1,-3.0,1,3.3,-21663,-4.4,0,0.0,0,0.0,-54,-4.4
"18015","1","1028","73","0","2019","2","","Carroll County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,31,31,35,458332,0,0,1090,"",3.30,0.57,0.57,0.62,0.52,0.00,0.00,0.89,"",0,0.0,1,3.3,-1,-3.1,4,12.9,31019,7.3,0,0.0,0,0.0,30,2.8
