"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18017","0","10","70","0","2019","1","","Cass County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",697,14512,14579,14663,134228639,75068946,1107666,708,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.1,146,1.0,-58,-0.4,-75,-0.5,116760,0.1,-462351,-0.6,4144,0.4,0,0.0
"18017","0","10","70","0","2019","2","","Cass County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",708,14911,15102,14997,138850820,21811136,309584,712,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,1.4,-58,-0.4,1,0.0,-155,-1.0,4016432,3.0,-601636,-2.7,-41059,-11.7,24,3.5
"18017","1","10","71","0","2019","1","","Cass County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,80,82,87,1067434,0,0,989,"",2.44,0.29,0.29,0.31,0.32,0.00,0.00,1.08,"",-1,-9.1,-5,-5.9,-2,-2.4,-2,-2.2,-204482,-16.1,0,0.0,0,0.0,-149,-13.1
"18017","1","10","71","0","2019","2","","Cass County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,82,83,82,1163667,0,0,1087,"",2.42,0.29,0.29,0.29,0.30,0.00,0.00,1.02,"",-1,-9.1,-6,-6.8,-1,-1.2,-3,-3.5,-88883,-7.1,0,0.0,0,0.0,-38,-3.4
"18017","1","102","72","0","2019","1","","Cass County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,80,82,87,1067434,0,0,989,"",2.44,0.29,0.30,0.32,0.33,0.00,0.00,1.08,"",-1,-9.1,-5,-5.9,-2,-2.4,-2,-2.2,-204482,-16.1,0,0.0,0,0.0,-149,-13.1
"18017","1","102","72","0","2019","2","","Cass County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,82,83,82,1163667,0,0,1087,"",2.43,0.30,0.30,0.29,0.30,0.00,0.00,1.02,"",-1,-9.1,-6,-6.8,-1,-1.2,-3,-3.5,-88883,-7.1,0,0.0,0,0.0,-38,-3.4
"18017","1","1021","73","0","2019","1","","Cass County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,55,55,56,674308,0,0,937,"",3.38,0.82,0.82,0.83,1.14,0.00,0.00,1.39,"",0,0.0,-3,-5.2,1,1.9,-2,-3.4,-3256,-0.5,0,0.0,0,0.0,17,1.8
"18017","1","1021","73","0","2019","2","","Cass County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,53,53,54,737070,0,0,1063,"",3.36,0.78,0.77,0.80,1.02,0.00,0.00,1.30,"",0,0.0,-3,-5.4,-2,-3.6,-2,-3.6,-51466,-6.5,0,0.0,0,0.0,-27,-2.5
"18017","1","1028","73","0","2019","1","","Cass County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,25,27,31,393126,0,0,1093,"",1.81,0.17,0.18,0.20,0.19,0.00,0.00,1.06,"",-1,-25.0,-2,-7.4,-3,-10.0,0,0.0,-201226,-33.9,0,0.0,0,0.0,-466,-29.9
"18017","1","1028","73","0","2019","2","","Cass County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,29,30,28,426597,0,0,1132,"",1.80,0.19,0.19,0.18,0.18,0.00,0.00,0.97,"",-1,-25.0,-3,-9.4,1,3.4,-1,-3.4,-37417,-8.1,0,0.0,0,0.0,-58,-4.9
"18017","1","48-49","74","0","2019","1","","Cass County, Indiana","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,55,55,56,674308,0,0,937,"",3.48,0.89,0.89,0.90,1.22,0.00,0.00,1.36,"",0,0.0,-3,-5.2,1,1.9,-2,-3.4,-3256,-0.5,0,0.0,0,0.0,17,1.8
"18017","1","48-49","74","0","2019","2","","Cass County, Indiana","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,53,53,54,737070,0,0,1063,"",3.45,0.85,0.84,0.87,1.09,0.00,0.00,1.28,"",0,0.0,-3,-5.4,-2,-3.6,-2,-3.6,-51466,-6.5,0,0.0,0,0.0,-27,-2.5
"18017","1","491","75","0","2019","1","","Cass County, Indiana","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,55,55,56,674308,0,0,937,"",3.50,0.91,0.91,0.92,1.28,0.00,0.00,1.40,"",0,0.0,-3,-5.2,1,1.9,-2,-3.4,-3256,-0.5,0,0.0,0,0.0,17,1.8
"18017","1","491","75","0","2019","2","","Cass County, Indiana","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,53,53,54,737070,0,0,1063,"",3.48,0.87,0.86,0.89,1.13,0.00,0.00,1.30,"",0,0.0,-3,-5.4,-2,-3.6,-2,-3.6,-51466,-6.5,0,0.0,0,0.0,-27,-2.5
"18017","1","4911","76","0","2019","1","","Cass County, Indiana","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,55,55,56,674308,0,0,937,"",3.50,0.91,0.91,0.92,1.28,0.00,0.00,1.40,"",0,0.0,-3,-5.2,1,1.9,-2,-3.4,-3256,-0.5,0,0.0,0,0.0,17,1.8
"18017","1","4911","76","0","2019","2","","Cass County, Indiana","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,53,53,54,737070,0,0,1063,"",3.48,0.87,0.86,0.89,1.13,0.00,0.00,1.30,"",0,0.0,-3,-5.4,-2,-3.6,-2,-3.6,-51466,-6.5,0,0.0,0,0.0,-27,-2.5
"18017","1","49111","77","0","2019","1","","Cass County, Indiana","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,55,55,56,674308,0,0,937,"",3.50,0.91,0.91,0.92,1.28,0.00,0.00,1.40,"",0,0.0,-3,-5.2,1,1.9,-2,-3.4,-3256,-0.5,0,0.0,0,0.0,17,1.8
"18017","1","49111","77","0","2019","2","","Cass County, Indiana","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,53,53,54,737070,0,0,1063,"",3.48,0.87,0.86,0.89,1.13,0.00,0.00,1.30,"",0,0.0,-3,-5.4,-2,-3.6,-2,-3.6,-51466,-6.5,0,0.0,0,0.0,-27,-2.5
"18017","1","491110","78","0","2019","1","","Cass County, Indiana","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,55,55,56,674308,0,0,937,"",3.50,0.91,0.91,0.92,1.28,0.00,0.00,1.40,"",0,0.0,-3,-5.2,1,1.9,-2,-3.4,-3256,-0.5,0,0.0,0,0.0,17,1.8
"18017","1","491110","78","0","2019","2","","Cass County, Indiana","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,53,53,54,737070,0,0,1063,"",3.48,0.87,0.86,0.89,1.13,0.00,0.00,1.30,"",0,0.0,-3,-5.4,-2,-3.6,-2,-3.6,-51466,-6.5,0,0.0,0,0.0,-27,-2.5
"18017","1","92","74","0","2019","1","","Cass County, Indiana","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,25,27,31,393126,0,0,1093,"",1.81,0.17,0.18,0.20,0.19,0.00,0.00,1.06,"",-1,-25.0,-2,-7.4,-3,-10.0,0,0.0,-201226,-33.9,0,0.0,0,0.0,-466,-29.9
"18017","1","92","74","0","2019","2","","Cass County, Indiana","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,29,30,28,426597,0,0,1132,"",1.80,0.19,0.19,0.18,0.18,0.00,0.00,0.97,"",-1,-25.0,-3,-9.4,1,3.4,-1,-3.4,-37417,-8.1,0,0.0,0,0.0,-58,-4.9
"18017","1","924","75","0","2019","1","","Cass County, Indiana","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,17366,0,0,1336,"",2.72,0.12,0.11,0.12,0.16,0.00,0.00,1.37,"",0,0.0,0,0.0,0,0.0,0,0.0,-2253,-11.5,0,0.0,0,0.0,-173,-11.5
"18017","1","924","75","0","2019","2","","Cass County, Indiana","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,17894,0,0,1376,"",2.71,0.11,0.10,0.10,0.15,0.00,0.00,1.45,"",0,0.0,0,0.0,0,0.0,0,0.0,998,5.9,0,0.0,0,0.0,76,5.8
"18017","1","9241","76","0","2019","1","","Cass County, Indiana","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,17366,0,0,1336,"",2.72,0.12,0.11,0.12,0.16,0.00,0.00,1.37,"",0,0.0,0,0.0,0,0.0,0,0.0,-2253,-11.5,0,0.0,0,0.0,-173,-11.5
"18017","1","9241","76","0","2019","2","","Cass County, Indiana","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,17894,0,0,1376,"",2.71,0.11,0.10,0.10,0.15,0.00,0.00,1.45,"",0,0.0,0,0.0,0,0.0,0,0.0,998,5.9,0,0.0,0,0.0,76,5.8
