"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18021","0","10","70","0","2019","1","","Clay County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",493,7673,7691,7769,66962592,43425288,644716,668,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.2,70,0.9,27,0.4,84,1.1,1310807,2.0,720615,1.7,-66345,-9.3,8,1.2
"18021","0","10","70","0","2019","2","","Clay County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",499,7871,7920,7908,68470076,11755844,183275,667,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.2,-58,-0.7,-42,-0.5,-131,-1.6,1798482,2.7,-365544,-3.0,-19465,-9.6,24,3.7
"18021","1","10","71","0","2019","1","","Clay County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,60,64,65,707886,0,0,864,"",4.48,0.41,0.43,0.44,0.43,0.00,0.00,1.00,"",0,0.0,-2,-3.2,5,8.5,2,3.2,11370,1.6,0,0.0,0,0.0,-10,-1.1
"18021","1","10","71","0","2019","2","","Clay County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,60,58,59,794386,0,0,1036,"",4.46,0.40,0.39,0.39,0.41,0.00,0.00,1.04,"",-1,-7.1,-4,-6.2,-5,-7.9,-5,-7.8,6127,0.8,0,0.0,0,0.0,84,8.8
"18021","1","102","72","0","2019","1","","Clay County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,60,64,65,707886,0,0,864,"",4.49,0.42,0.44,0.45,0.44,0.00,0.00,1.00,"",0,0.0,-2,-3.2,5,8.5,2,3.2,11370,1.6,0,0.0,0,0.0,-10,-1.1
"18021","1","102","72","0","2019","2","","Clay County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,60,58,59,794386,0,0,1036,"",4.47,0.41,0.39,0.40,0.42,0.00,0.00,1.04,"",-1,-7.1,-4,-6.2,-5,-7.9,-5,-7.8,6127,0.8,0,0.0,0,0.0,84,8.8
"18021","1","1021","73","0","2019","1","","Clay County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,43,47,44,452901,0,0,780,"",6.84,1.21,1.32,1.23,1.54,0.00,0.00,1.22,"",-1,-9.1,-4,-8.5,2,4.4,-5,-10.2,-42744,-8.6,0,0.0,0,0.0,-31,-3.8
"18021","1","1021","73","0","2019","2","","Clay County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,41,41,42,563396,0,0,1049,"",6.81,1.14,1.14,1.17,1.58,0.00,0.00,1.37,"",-1,-9.1,-4,-8.9,-6,-12.8,-5,-10.6,-15835,-2.7,0,0.0,0,0.0,87,9.0
"18021","1","1028","73","0","2019","1","","Clay County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,17,17,21,254985,0,0,1070,"",2.56,0.21,0.21,0.26,0.25,0.00,0.00,1.10,"",1,50.0,2,13.3,3,21.4,7,50.0,54114,26.9,0,0.0,0,0.0,-8,-0.7
"18021","1","1028","73","0","2019","2","","Clay County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,19,17,17,230990,0,0,1006,"",2.56,0.23,0.21,0.21,0.20,0.00,0.00,0.92,"",0,0.0,0,0.0,1,6.2,0,0.0,21962,10.5,0,0.0,0,0.0,78,8.4
