"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18033","0","10","70","0","2019","1","","DeKalb County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",973,21968,21960,22168,278421229,145480127,2496994,972,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.2,431,2.0,251,1.2,399,1.8,11565733,4.3,2611818,1.8,-250628,-9.1,25,2.6
"18033","0","10","70","0","2019","2","","DeKalb County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",981,22279,22372,22344,260725238,36993121,552864,898,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,0.6,410,1.9,476,2.2,230,1.0,2163261,0.8,3220312,9.5,-61513,-10.0,-8,-0.9
"18033","1","10","71","0","2019","1","","DeKalb County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,79,78,80,1095688,0,0,1067,"",1.92,0.19,0.19,0.19,0.16,0.00,0.00,0.85,"",0,0.0,-4,-4.8,-5,-6.0,-6,-7.0,-13826,-1.2,0,0.0,0,0.0,51,5.0
"18033","1","10","71","0","2019","2","","DeKalb County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,81,84,81,1243795,0,0,1167,"",1.92,0.19,0.20,0.19,0.17,0.00,0.00,0.87,"",0,0.0,-1,-1.2,6,7.7,4,5.2,44176,3.7,0,0.0,0,0.0,-1,-0.1
"18033","1","102","72","0","2019","1","","DeKalb County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,79,78,80,1095688,0,0,1067,"",1.92,0.19,0.19,0.19,0.16,0.00,0.00,0.85,"",0,0.0,-4,-4.8,-5,-6.0,-6,-7.0,-13826,-1.2,0,0.0,0,0.0,51,5.0
"18033","1","102","72","0","2019","2","","DeKalb County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,81,84,81,1243795,0,0,1167,"",1.93,0.20,0.20,0.19,0.17,0.00,0.00,0.87,"",0,0.0,-1,-1.2,6,7.7,4,5.2,44176,3.7,0,0.0,0,0.0,-1,-0.1
"18033","1","1021","73","0","2019","1","","DeKalb County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,64,63,64,798905,0,0,965,"",2.77,0.63,0.62,0.63,0.65,0.00,0.00,1.04,"",0,0.0,-3,-4.5,-4,-6.0,-3,-4.5,2582,0.3,0,0.0,0,0.0,51,5.6
"18033","1","1021","73","0","2019","2","","DeKalb County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,63,65,65,950615,0,0,1137,"",2.77,0.62,0.64,0.64,0.70,0.00,0.00,1.10,"",0,0.0,-3,-4.5,3,4.8,4,6.6,26687,2.9,0,0.0,0,0.0,9,0.8
"18033","1","1028","73","0","2019","1","","DeKalb County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,15,15,16,296783,0,0,1489,"",1.30,0.07,0.07,0.07,0.07,0.00,0.00,1.06,"",0,0.0,-1,-6.2,-1,-6.2,-3,-15.8,-16408,-5.2,0,0.0,0,0.0,72,5.1
"18033","1","1028","73","0","2019","2","","DeKalb County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,18,19,16,293180,0,0,1277,"",1.30,0.08,0.08,0.07,0.07,0.00,0.00,0.86,"",0,0.0,2,12.5,3,18.8,0,0.0,17489,6.3,0,0.0,0,0.0,-48,-3.6
