"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18039","0","10","70","0","2019","1","","Elkhart County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4725,134735,134510,135192,1630637398,908879288,17833658,930,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",23,0.5,-1104,-0.8,-2433,-1.8,-2448,-1.8,-158896746,-8.9,-43300463,-4.5,-4450415,-20.0,-76,-7.6
"18039","0","10","70","0","2019","2","","Elkhart County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4770,134725,135330,135969,1621879647,215834399,3769906,922,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",43,0.9,-3268,-2.4,-3614,-2.6,-3929,-2.8,-74989934,-4.4,-20949655,-8.8,-908405,-19.4,-17,-1.8
"18039","1","10","71","0","2019","1","","Elkhart County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,264,273,277,4063712,0,0,1152,"",0.54,0.10,0.11,0.11,0.10,0.00,0.00,0.96,"",0,0.0,-3,-1.1,6,2.2,14,5.3,93964,2.4,0,0.0,0,0.0,3,0.3
"18039","1","10","71","0","2019","2","","Elkhart County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,276,270,271,4375737,0,0,1236,"",0.57,0.11,0.11,0.11,0.10,0.00,0.00,0.90,"",1,6.7,6,2.2,6,2.3,7,2.7,157204,3.7,0,0.0,0,0.0,16,1.3
"18039","1","102","72","0","2019","1","","Elkhart County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,264,273,277,4063712,0,0,1152,"",0.54,0.10,0.11,0.11,0.10,0.00,0.00,0.96,"",0,0.0,-3,-1.1,6,2.2,14,5.3,93964,2.4,0,0.0,0,0.0,3,0.3
"18039","1","102","72","0","2019","2","","Elkhart County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,276,270,271,4375737,0,0,1236,"",0.58,0.11,0.11,0.11,0.10,0.00,0.00,0.90,"",1,6.7,6,2.2,6,2.3,7,2.7,157204,3.7,0,0.0,0,0.0,16,1.3
"18039","1","1021","73","0","2019","1","","Elkhart County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,216,225,225,3240270,0,0,1123,"",0.57,0.35,0.36,0.36,0.45,0.00,0.00,1.27,"",0,0.0,-4,-1.8,5,2.3,8,3.7,113344,3.6,0,0.0,0,0.0,25,2.3
"18039","1","1021","73","0","2019","2","","Elkhart County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,227,223,224,3567239,0,0,1221,"",0.57,0.37,0.36,0.36,0.42,0.00,0.00,1.16,"",0,0.0,6,2.7,5,2.3,5,2.3,100307,2.9,0,0.0,0,0.0,5,0.4
"18039","1","1025","73","0","2019","1","","Elkhart County, Indiana","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,4,4,4,82587,0,0,1588,"",1.58,0.01,0.01,0.01,0.01,0.00,0.00,1.35,"",0,0.0,0,0.0,0,0.0,0,0.0,29,0.0,0,0.0,0,0.0,0,0.0
"18039","1","1025","73","0","2019","2","","Elkhart County, Indiana","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,4,4,4,98819,0,0,1900,"",1.58,0.01,0.01,0.01,0.01,0.00,0.00,1.33,"",0,0.0,0,0.0,0,0.0,0,0.0,2788,2.9,0,0.0,0,0.0,53,2.9
"18039","1","1028","73","0","2019","1","","Elkhart County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,44,44,48,740855,0,0,1257,"",0.53,0.03,0.03,0.03,0.03,0.00,0.00,0.93,"",0,0.0,1,2.3,1,2.3,6,14.3,-19409,-2.6,0,0.0,0,0.0,-114,-8.3
"18039","1","1028","73","0","2019","2","","Elkhart County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,45,43,43,709679,0,0,1250,"",0.62,0.03,0.03,0.03,0.03,0.00,0.00,0.82,"",1,16.7,0,0.0,1,2.4,2,4.9,54109,8.3,0,0.0,0,0.0,68,5.8
"18039","1","48-49","74","0","2019","1","","Elkhart County, Indiana","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,216,225,225,3240270,0,0,1123,"",0.59,0.38,0.40,0.39,0.48,0.00,0.00,1.25,"",0,0.0,-4,-1.8,5,2.3,8,3.7,113344,3.6,0,0.0,0,0.0,25,2.3
"18039","1","48-49","74","0","2019","2","","Elkhart County, Indiana","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,227,223,224,3567239,0,0,1221,"",0.59,0.40,0.39,0.40,0.45,0.00,0.00,1.14,"",0,0.0,6,2.7,5,2.3,5,2.3,100307,2.9,0,0.0,0,0.0,5,0.4
"18039","1","491","75","0","2019","1","","Elkhart County, Indiana","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,216,225,225,3240270,0,0,1123,"",0.59,0.39,0.40,0.40,0.51,0.00,0.00,1.28,"",0,0.0,-4,-1.8,5,2.3,8,3.7,113344,3.6,0,0.0,0,0.0,25,2.3
"18039","1","491","75","0","2019","2","","Elkhart County, Indiana","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,227,223,224,3567239,0,0,1221,"",0.59,0.41,0.40,0.41,0.47,0.00,0.00,1.16,"",0,0.0,6,2.7,5,2.3,5,2.3,100307,2.9,0,0.0,0,0.0,5,0.4
"18039","1","4911","76","0","2019","1","","Elkhart County, Indiana","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,216,225,225,3240270,0,0,1123,"",0.59,0.39,0.40,0.40,0.51,0.00,0.00,1.28,"",0,0.0,-4,-1.8,5,2.3,8,3.7,113344,3.6,0,0.0,0,0.0,25,2.3
"18039","1","4911","76","0","2019","2","","Elkhart County, Indiana","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,227,223,224,3567239,0,0,1221,"",0.59,0.41,0.40,0.41,0.47,0.00,0.00,1.16,"",0,0.0,6,2.7,5,2.3,5,2.3,100307,2.9,0,0.0,0,0.0,5,0.4
"18039","1","49111","77","0","2019","1","","Elkhart County, Indiana","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,216,225,225,3240270,0,0,1123,"",0.59,0.39,0.40,0.40,0.51,0.00,0.00,1.28,"",0,0.0,-4,-1.8,5,2.3,8,3.7,113344,3.6,0,0.0,0,0.0,25,2.3
