"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18043","0","10","70","0","2019","1","","Floyd County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1824,30661,30707,30984,324113753,165965144,2634557,810,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,0.2,975,3.3,671,2.2,591,1.9,11625801,3.7,8698250,5.5,47358,1.8,10,1.2
"18043","0","10","70","0","2019","2","","Floyd County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1846,30970,31199,31311,319641497,49620127,764422,789,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",34,1.9,352,1.1,410,1.3,182,0.6,13312666,4.3,-412876,-0.8,-62662,-7.6,25,3.3
"18043","1","10","71","0","2019","1","","Floyd County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,218,214,216,3437289,0,0,1224,"",1.68,0.37,0.36,0.37,0.43,0.00,0.00,1.17,"",0,0.0,3,1.4,-2,-0.9,0,0.0,-58664,-1.7,0,0.0,0,0.0,-23,-1.8
"18043","1","10","71","0","2019","2","","Floyd County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,216,221,220,3825869,0,0,1344,"",1.67,0.37,0.37,0.37,0.42,0.00,0.00,1.14,"",0,0.0,-4,-1.8,-1,-0.5,-1,-0.5,-35520,-0.9,0,0.0,0,0.0,0,0.0
"18043","1","102","72","0","2019","1","","Floyd County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,218,214,216,3437289,0,0,1224,"",1.68,0.38,0.37,0.37,0.44,0.00,0.00,1.17,"",0,0.0,3,1.4,-2,-0.9,0,0.0,-58664,-1.7,0,0.0,0,0.0,-23,-1.8
"18043","1","102","72","0","2019","2","","Floyd County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,216,221,220,3825869,0,0,1344,"",1.67,0.37,0.38,0.38,0.43,0.00,0.00,1.14,"",0,0.0,-4,-1.8,-1,-0.5,-1,-0.5,-35520,-0.9,0,0.0,0,0.0,0,0.0
"18043","1","1021","73","0","2019","1","","Floyd County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,108,106,109,1360616,0,0,972,"",0.92,0.76,0.75,0.76,0.95,0.00,0.00,1.26,"",0,0.0,5,4.9,1,1.0,7,6.9,70165,5.4,0,0.0,0,0.0,11,1.1
"18043","1","1021","73","0","2019","2","","Floyd County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,108,109,108,1548683,0,0,1100,"",0.92,0.76,0.77,0.76,0.93,0.00,0.00,1.22,"",0,0.0,2,1.9,3,2.8,4,3.8,25627,1.7,0,0.0,0,0.0,-12,-1.1
"18043","1","1025","73","0","2019","1","","Floyd County, Indiana","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,48,48,47,1035879,0,0,1672,"",4.09,0.54,0.54,0.53,0.88,0.00,0.00,1.63,"",0,0.0,-4,-7.7,-2,-4.0,-4,-7.8,-62200,-5.7,0,0.0,0,0.0,16,1.0
"18043","1","1025","73","0","2019","2","","Floyd County, Indiana","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,48,50,51,1173906,0,0,1818,"",4.08,0.54,0.57,0.58,0.84,0.00,0.00,1.49,"",0,0.0,-2,-4.0,-2,-3.8,-1,-1.9,-43003,-3.5,0,0.0,0,0.0,-6,-0.3
