"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18053","0","10","70","0","2019","1","","Grant County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1210,27014,27256,26919,277357873,128670370,2103721,788,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-7,-0.6,92,0.3,-5,0.0,46,0.2,-658898,-0.2,1613349,1.3,-207126,-9.0,-4,-0.5
"18053","0","10","70","0","2019","2","","Grant County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1221,27544,27338,27047,277826588,46559041,617081,783,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.2,51,0.2,-246,-0.9,-395,-1.4,11454892,4.3,1004441,2.2,-61566,-9.1,38,5.1
"18053","1","10","71","0","2019","1","","Grant County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,1066,1065,1076,15941033,0,0,1147,"",2.24,2.06,2.04,2.10,2.33,0.00,0.00,1.13,"",0,0.0,6,0.6,-4,-0.4,6,0.6,-22377,-0.1,0,0.0,0,0.0,-5,-0.4
"18053","1","10","71","0","2019","2","","Grant County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,1077,1082,1075,18587637,0,0,1326,"",2.25,2.06,2.09,2.10,2.37,0.00,0.00,1.14,"",0,0.0,12,1.1,17,1.6,2,0.2,872371,4.9,0,0.0,0,0.0,50,3.9
"18053","1","102","72","0","2019","1","","Grant County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,1066,1065,1076,15941033,0,0,1147,"",2.25,2.10,2.08,2.14,2.37,0.00,0.00,1.13,"",0,0.0,6,0.6,-4,-0.4,6,0.6,-22377,-0.1,0,0.0,0,0.0,-5,-0.4
"18053","1","102","72","0","2019","2","","Grant County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,1077,1082,1075,18587637,0,0,1326,"",2.25,2.10,2.13,2.14,2.41,0.00,0.00,1.14,"",0,0.0,12,1.1,17,1.6,2,0.2,872371,4.9,0,0.0,0,0.0,50,3.9
"18053","1","1021","73","0","2019","1","","Grant County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,101,105,108,1390955,0,0,1022,"",2.23,0.81,0.83,0.87,1.14,0.00,0.00,1.36,"",0,0.0,-6,-5.6,-1,-0.9,-1,-0.9,36340,2.7,0,0.0,0,0.0,51,5.3
"18053","1","1021","73","0","2019","2","","Grant County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,107,111,111,1617310,0,0,1134,"",2.23,0.85,0.89,0.91,1.12,0.00,0.00,1.26,"",0,0.0,0,0.0,-1,-0.9,2,1.8,43401,2.8,0,0.0,0,0.0,27,2.4
"18053","1","1025","73","0","2019","1","","Grant County, Indiana","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,924,920,925,13906033,0,0,1159,"",6.17,11.88,11.73,11.96,13.76,0.00,0.00,1.16,"",0,0.0,10,1.1,-4,-0.4,5,0.5,-55215,-0.4,0,0.0,0,0.0,-9,-0.8
"18053","1","1025","73","0","2019","2","","Grant County, Indiana","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,928,929,925,16311592,0,0,1353,"",6.17,11.81,12.00,12.12,13.39,0.00,0.00,1.12,"",0,0.0,11,1.2,16,1.8,4,0.4,783353,5.0,0,0.0,0,0.0,50,3.8
"18053","1","1027","73","0","2019","1","","Grant County, Indiana","Federal Government","1027 Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,8,8,8,102588,0,0,986,"",50.86,9.39,9.30,9.47,13.94,0.00,0.00,1.49,"",0,0.0,-1,-11.1,-1,-11.1,-1,-11.1,-2712,-2.6,0,0.0,0,0.0,86,9.6
"18053","1","1027","73","0","2019","2","","Grant County, Indiana","Federal Government","1027 Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,9,11,11,161724,0,0,1204,"",52.81,10.43,12.81,13.12,18.23,0.00,0.00,1.51,"",0,0.0,0,0.0,3,37.5,3,37.5,39668,32.5,0,0.0,0,0.0,77,6.8
"18053","1","1028","73","0","2019","1","","Grant County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,33,32,35,541457,0,0,1250,"",2.09,0.12,0.11,0.13,0.13,0.00,0.00,1.09,"",0,0.0,3,10.0,2,6.7,3,9.4,-790,-0.1,0,0.0,0,0.0,-110,-8.1
"18053","1","1028","73","0","2019","2","","Grant County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,33,31,28,497011,0,0,1247,"",2.09,0.12,0.11,0.10,0.11,0.00,0.00,0.97,"",0,0.0,1,3.1,-1,-3.1,-7,-20.0,5949,1.2,0,0.0,0,0.0,102,8.9
"18053","1","48-49","74","0","2019","1","","Grant County, Indiana","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,101,105,108,1390955,0,0,1022,"",2.29,0.88,0.91,0.95,1.22,0.00,0.00,1.34,"",0,0.0,-6,-5.6,-1,-0.9,-1,-0.9,36340,2.7,0,0.0,0,0.0,51,5.3
"18053","1","48-49","74","0","2019","2","","Grant County, Indiana","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,107,111,111,1617310,0,0,1134,"",2.29,0.93,0.97,0.99,1.20,0.00,0.00,1.24,"",0,0.0,0,0.0,-1,-0.9,2,1.8,43401,2.8,0,0.0,0,0.0,27,2.4
"18053","1","491","75","0","2019","1","","Grant County, Indiana","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,101,105,108,1390955,0,0,1022,"",2.30,0.90,0.93,0.97,1.28,0.00,0.00,1.37,"",0,0.0,-6,-5.6,-1,-0.9,-1,-0.9,36340,2.7,0,0.0,0,0.0,51,5.3
"18053","1","491","75","0","2019","2","","Grant County, Indiana","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,107,111,111,1617310,0,0,1134,"",2.30,0.95,0.99,1.01,1.24,0.00,0.00,1.26,"",0,0.0,0,0.0,-1,-0.9,2,1.8,43401,2.8,0,0.0,0,0.0,27,2.4
"18053","1","4911","76","0","2019","1","","Grant County, Indiana","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,101,105,108,1390955,0,0,1022,"",2.30,0.90,0.93,0.97,1.28,0.00,0.00,1.37,"",0,0.0,-6,-5.6,-1,-0.9,-1,-0.9,36340,2.7,0,0.0,0,0.0,51,5.3
"18053","1","4911","76","0","2019","2","","Grant County, Indiana","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,107,111,111,1617310,0,0,1134,"",2.30,0.95,0.99,1.01,1.24,0.00,0.00,1.26,"",0,0.0,0,0.0,-1,-0.9,2,1.8,43401,2.8,0,0.0,0,0.0,27,2.4
"18053","1","49111","77","0","2019","1","","Grant County, Indiana","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,101,105,108,1390955,0,0,1022,"",2.30,0.90,0.93,0.97,1.28,0.00,0.00,1.37,"",0,0.0,-6,-5.6,-1,-0.9,-1,-0.9,36340,2.7,0,0.0,0,0.0,51,5.3
"18053","1","49111","77","0","2019","2","","Grant County, Indiana","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,107,111,111,1617310,0,0,1134,"",2.30,0.95,0.99,1.01,1.24,0.00,0.00,1.26,"",0,0.0,0,0.0,-1,-0.9,2,1.8,43401,2.8,0,0.0,0,0.0,27,2.4
"18053","1","491110","78","0","2019","1","","Grant County, Indiana","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,101,105,108,1390955,0,0,1022,"",2.30,0.90,0.93,0.97,1.28,0.00,0.00,1.37,"",0,0.0,-6,-5.6,-1,-0.9,-1,-0.9,36340,2.7,0,0.0,0,0.0,51,5.3
"18053","1","491110","78","0","2019","2","","Grant County, Indiana","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,107,111,111,1617310,0,0,1134,"",2.30,0.95,0.99,1.01,1.24,0.00,0.00,1.26,"",0,0.0,0,0.0,-1,-0.9,2,1.8,43401,2.8,0,0.0,0,0.0,27,2.4
"18053","1","62","74","0","2019","1","","Grant County, Indiana","Federal Government","NAICS 62 Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,924,920,925,13906033,0,0,1159,"",6.95,12.23,12.08,12.32,14.15,0.00,0.00,1.16,"",0,0.0,10,1.1,-4,-0.4,5,0.5,-55215,-0.4,0,0.0,0,0.0,-9,-0.8
"18053","1","62","74","0","2019","2","","Grant County, Indiana","Federal Government","NAICS 62 Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,928,929,925,16311592,0,0,1353,"",6.94,12.16,12.35,12.46,13.77,0.00,0.00,1.12,"",0,0.0,11,1.2,16,1.8,4,0.4,783353,5.0,0,0.0,0,0.0,50,3.8
"18053","1","622","75","0","2019","1","","Grant County, Indiana","Federal Government","NAICS 622 Hospitals","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,924,920,925,13906033,0,0,1159,"",22.03,14.09,13.92,14.19,15.94,0.00,0.00,1.13,"",0,0.0,10,1.1,-4,-0.4,5,0.5,-55215,-0.4,0,0.0,0,0.0,-9,-0.8
"18053","1","622","75","0","2019","2","","Grant County, Indiana","Federal Government","NAICS 622 Hospitals","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,928,929,925,16311592,0,0,1353,"",21.92,14.01,14.25,14.39,15.52,0.00,0.00,1.09,"",0,0.0,11,1.2,16,1.8,4,0.4,783353,5.0,0,0.0,0,0.0,50,3.8
"18053","1","6222","76","0","2019","1","","Grant County, Indiana","Federal Government","NAICS 6222 Psychiatric and substance abuse hospitals","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,924,920,925,13906033,0,0,1159,"",2098.11,839.28,831.79,849.14,1094.00,0.00,0.00,1.30,"",0,0.0,10,1.1,-4,-0.4,5,0.5,-55215,-0.4,0,0.0,0,0.0,-9,-0.8
"18053","1","6222","76","0","2019","2","","Grant County, Indiana","Federal Government","NAICS 6222 Psychiatric and substance abuse hospitals","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,928,929,925,16311592,0,0,1353,"",2099.11,841.70,853.76,865.38,1064.76,0.00,0.00,1.25,"",0,0.0,11,1.2,16,1.8,4,0.4,783353,5.0,0,0.0,0,0.0,50,3.8
