"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18059","0","10","70","0","2019","1","","Hancock County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1551,25201,25283,25380,308637241,141408831,2274099,939,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-12,-0.8,2329,10.2,2292,10.0,2233,9.6,44055616,16.7,15995036,12.8,115227,5.3,54,6.1
"18059","0","10","70","0","2019","2","","Hancock County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1587,25605,26052,26326,284582842,48916761,770564,842,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",13,0.8,1976,8.4,1720,7.1,2127,8.8,28632973,11.2,5633603,13.0,36250,4.9,23,2.8
"18059","1","10","71","0","2019","1","","Hancock County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,113,113,120,1489557,0,0,993,"",0.99,0.23,0.23,0.25,0.20,0.00,0.00,0.82,"",0,0.0,-2,-1.7,-1,-0.9,0,0.0,22028,1.5,0,0.0,0,0.0,23,2.4
"18059","1","10","71","0","2019","2","","Hancock County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,117,121,120,1708566,0,0,1101,"",0.97,0.24,0.25,0.24,0.21,0.00,0.00,0.88,"",0,0.0,3,2.6,0,0.0,-1,-0.8,29087,1.7,0,0.0,0,0.0,12,1.1
"18059","1","102","72","0","2019","1","","Hancock County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,113,113,120,1489557,0,0,993,"",0.99,0.24,0.24,0.25,0.20,0.00,0.00,0.82,"",0,0.0,-2,-1.7,-1,-0.9,0,0.0,22028,1.5,0,0.0,0,0.0,23,2.4
"18059","1","102","72","0","2019","2","","Hancock County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,117,121,120,1708566,0,0,1101,"",0.97,0.25,0.25,0.25,0.22,0.00,0.00,0.88,"",0,0.0,3,2.6,0,0.0,-1,-0.8,29087,1.7,0,0.0,0,0.0,12,1.1
"18059","1","1021","73","0","2019","1","","Hancock County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,107,108,114,1396702,0,0,980,"",1.74,0.92,0.93,0.98,1.03,0.00,0.00,1.09,"",0,0.0,-2,-1.8,0,0.0,0,0.0,57282,4.3,0,0.0,0,0.0,46,4.9
"18059","1","1021","73","0","2019","2","","Hancock County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,109,113,114,1607191,0,0,1104,"",1.50,0.93,0.95,0.96,1.08,0.00,0.00,1.14,"",-1,-12.5,1,0.9,-2,-1.7,0,0.0,30343,1.9,0,0.0,0,0.0,24,2.2
"18059","1","1028","73","0","2019","1","","Hancock County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,6,5,6,92855,0,0,1260,"",0.27,0.02,0.02,0.02,0.02,0.00,0.00,0.92,"",0,0.0,0,0.0,-1,-16.7,0,0.0,-35254,-27.5,0,0.0,0,0.0,-382,-23.3
"18059","1","1028","73","0","2019","2","","Hancock County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,8,8,6,101375,0,0,1063,"",0.54,0.03,0.03,0.02,0.02,0.00,0.00,0.77,"",1,100.0,2,33.3,2,33.3,-1,-14.3,-1256,-1.2,0,0.0,0,0.0,-184,-14.8
