"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18061","0","10","70","0","2019","1","","Harrison County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",674,10307,10252,10327,95219963,50612085,692905,711,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-9,-1.3,70,0.7,-33,-0.3,-78,-0.7,945045,1.0,-662859,-1.3,-27143,-3.8,8,1.1
"18061","0","10","70","0","2019","2","","Harrison County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",681,10353,10395,10206,94736379,16842269,219207,706,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-10,-0.1,-136,-1.3,-378,-3.6,114663,0.1,133404,0.8,-29505,-11.9,12,1.7
"18061","1","10","71","0","2019","1","","Harrison County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,95,96,96,1154967,0,0,929,"",3.53,0.48,0.49,0.49,0.49,0.00,0.00,1.01,"",0,0.0,-2,-2.1,1,1.1,-3,-3.0,-37890,-3.2,0,0.0,0,0.0,-17,-1.8
"18061","1","10","71","0","2019","2","","Harrison County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,98,97,102,1338576,0,0,1040,"",3.52,0.50,0.49,0.53,0.50,0.00,0.00,0.99,"",0,0.0,0,0.0,-2,-2.0,4,4.1,27203,2.1,0,0.0,0,0.0,14,1.4
"18061","1","102","72","0","2019","1","","Harrison County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,95,96,96,1154967,0,0,929,"",3.53,0.49,0.50,0.50,0.50,0.00,0.00,1.01,"",0,0.0,-2,-2.1,1,1.1,-3,-3.0,-37890,-3.2,0,0.0,0,0.0,-17,-1.8
"18061","1","102","72","0","2019","2","","Harrison County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,98,97,102,1338576,0,0,1040,"",3.53,0.51,0.50,0.54,0.51,0.00,0.00,0.99,"",0,0.0,0,0.0,-2,-2.0,4,4.1,27203,2.1,0,0.0,0,0.0,14,1.4
"18061","1","1021","73","0","2019","1","","Harrison County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,78,77,78,842404,0,0,834,"",5.00,1.64,1.63,1.64,2.01,0.00,0.00,1.23,"",0,0.0,4,5.4,6,8.5,5,6.8,65875,8.5,0,0.0,0,0.0,12,1.5
"18061","1","1021","73","0","2019","2","","Harrison County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,77,78,80,1008824,0,0,991,"",4.99,1.63,1.65,1.73,2.04,0.00,0.00,1.22,"",0,0.0,6,8.5,4,5.4,7,9.6,45098,4.7,0,0.0,0,0.0,-29,-2.8
"18061","1","1028","73","0","2019","1","","Harrison County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,17,19,18,312563,0,0,1336,"",2.50,0.16,0.18,0.17,0.22,0.00,0.00,1.29,"",0,0.0,-6,-26.1,-5,-20.8,-8,-30.8,-103765,-24.9,0,0.0,0,0.0,20,1.5
"18061","1","1028","73","0","2019","2","","Harrison County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,21,19,22,329752,0,0,1227,"",2.50,0.20,0.18,0.21,0.21,0.00,0.00,1.06,"",0,0.0,-6,-22.2,-6,-24.0,-3,-12.0,-17895,-5.1,0,0.0,0,0.0,185,17.8
"18061","1","48-49","74","0","2019","1","","Harrison County, Indiana","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,78,77,78,842404,0,0,834,"",5.14,1.78,1.77,1.79,2.16,0.00,0.00,1.21,"",0,0.0,4,5.4,6,8.5,5,6.8,65875,8.5,0,0.0,0,0.0,12,1.5
"18061","1","48-49","74","0","2019","2","","Harrison County, Indiana","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,77,78,80,1008824,0,0,991,"",5.13,1.78,1.80,1.89,2.19,0.00,0.00,1.20,"",0,0.0,6,8.5,4,5.4,7,9.6,45098,4.7,0,0.0,0,0.0,-29,-2.8
"18061","1","491","75","0","2019","1","","Harrison County, Indiana","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,78,77,78,842404,0,0,834,"",5.17,1.82,1.81,1.83,2.26,0.00,0.00,1.24,"",0,0.0,4,5.4,6,8.5,5,6.8,65875,8.5,0,0.0,0,0.0,12,1.5
"18061","1","491","75","0","2019","2","","Harrison County, Indiana","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,77,78,80,1008824,0,0,991,"",5.16,1.82,1.84,1.93,2.28,0.00,0.00,1.23,"",0,0.0,6,8.5,4,5.4,7,9.6,45098,4.7,0,0.0,0,0.0,-29,-2.8
"18061","1","4911","76","0","2019","1","","Harrison County, Indiana","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,78,77,78,842404,0,0,834,"",5.17,1.82,1.81,1.83,2.26,0.00,0.00,1.24,"",0,0.0,4,5.4,6,8.5,5,6.8,65875,8.5,0,0.0,0,0.0,12,1.5
"18061","1","4911","76","0","2019","2","","Harrison County, Indiana","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,77,78,80,1008824,0,0,991,"",5.16,1.82,1.84,1.93,2.28,0.00,0.00,1.23,"",0,0.0,6,8.5,4,5.4,7,9.6,45098,4.7,0,0.0,0,0.0,-29,-2.8
"18061","1","49111","77","0","2019","1","","Harrison County, Indiana","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,78,77,78,842404,0,0,834,"",5.17,1.82,1.81,1.83,2.26,0.00,0.00,1.24,"",0,0.0,4,5.4,6,8.5,5,6.8,65875,8.5,0,0.0,0,0.0,12,1.5
"18061","1","49111","77","0","2019","2","","Harrison County, Indiana","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,77,78,80,1008824,0,0,991,"",5.16,1.82,1.84,1.93,2.28,0.00,0.00,1.23,"",0,0.0,6,8.5,4,5.4,7,9.6,45098,4.7,0,0.0,0,0.0,-29,-2.8
"18061","1","491110","78","0","2019","1","","Harrison County, Indiana","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",10,78,77,78,842404,0,0,834,"",5.17,1.82,1.81,1.83,2.26,0.00,0.00,1.24,"",0,0.0,4,5.4,6,8.5,5,6.8,65875,8.5,0,0.0,0,0.0,12,1.5
"18061","1","491110","78","0","2019","2","","Harrison County, Indiana","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",10,77,78,80,1008824,0,0,991,"",5.16,1.82,1.84,1.93,2.28,0.00,0.00,1.23,"",0,0.0,6,8.5,4,5.4,7,9.6,45098,4.7,0,0.0,0,0.0,-29,-2.8
"18061","1","92","74","0","2019","1","","Harrison County, Indiana","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,17,19,18,312563,0,0,1336,"",2.50,0.16,0.18,0.17,0.22,0.00,0.00,1.29,"",0,0.0,-6,-26.1,-5,-20.8,-8,-30.8,-103765,-24.9,0,0.0,0,0.0,20,1.5
"18061","1","92","74","0","2019","2","","Harrison County, Indiana","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,21,19,22,329752,0,0,1227,"",2.50,0.20,0.18,0.21,0.21,0.00,0.00,1.06,"",0,0.0,-6,-22.2,-6,-24.0,-3,-12.0,-17895,-5.1,0,0.0,0,0.0,185,17.8
"18061","1","924","75","0","2019","1","","Harrison County, Indiana","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,21941,0,0,1688,"",2.82,0.17,0.16,0.16,0.28,0.00,0.00,1.72,"",0,0.0,0,0.0,0,0.0,0,0.0,-3535,-13.9,0,0.0,0,0.0,-272,-13.9
"18061","1","924","75","0","2019","2","","Harrison County, Indiana","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,22610,0,0,1739,"",2.82,0.16,0.15,0.15,0.28,0.00,0.00,1.84,"",0,0.0,0,0.0,0,0.0,0,0.0,669,3.0,0,0.0,0,0.0,51,3.0
"18061","1","9241","76","0","2019","1","","Harrison County, Indiana","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,21941,0,0,1688,"",2.82,0.17,0.16,0.16,0.28,0.00,0.00,1.72,"",0,0.0,0,0.0,0,0.0,0,0.0,-3535,-13.9,0,0.0,0,0.0,-272,-13.9
"18061","1","9241","76","0","2019","2","","Harrison County, Indiana","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,22610,0,0,1739,"",2.82,0.16,0.15,0.15,0.28,0.00,0.00,1.84,"",0,0.0,0,0.0,0,0.0,0,0.0,669,3.0,0,0.0,0,0.0,51,3.0
"18061","1","92412","77","0","2019","1","","Harrison County, Indiana","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,21941,0,0,1688,"",2.97,0.20,0.20,0.20,0.38,0.00,0.00,1.91,"",0,0.0,0,0.0,0,0.0,0,0.0,-3535,-13.9,0,0.0,0,0.0,-272,-13.9
"18061","1","92412","77","0","2019","2","","Harrison County, Indiana","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,22610,0,0,1739,"",2.97,0.19,0.18,0.17,0.37,0.00,0.00,2.04,"",0,0.0,0,0.0,0,0.0,0,0.0,669,3.0,0,0.0,0,0.0,51,3.0
"18061","1","924120","78","0","2019","1","","Harrison County, Indiana","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,21941,0,0,1688,"",2.97,0.20,0.20,0.20,0.38,0.00,0.00,1.91,"",0,0.0,0,0.0,0,0.0,0,0.0,-3535,-13.9,0,0.0,0,0.0,-272,-13.9
"18061","1","924120","78","0","2019","2","","Harrison County, Indiana","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,22610,0,0,1739,"",2.97,0.19,0.18,0.17,0.37,0.00,0.00,2.04,"",0,0.0,0,0.0,0,0.0,0,0.0,669,3.0,0,0.0,0,0.0,51,3.0
"18061","1","926","75","0","2019","1","","Harrison County, Indiana","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,16,18,17,290622,0,0,1315,"",5.43,0.96,1.08,1.03,1.25,0.00,0.00,1.22,"",0,0.0,-6,-27.3,-5,-21.7,-8,-32.0,-100230,-25.6,0,0.0,0,0.0,26,2.0
"18061","1","926","75","0","2019","2","","Harrison County, Indiana","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,20,18,21,307142,0,0,1201,"",5.34,1.18,1.09,1.28,1.30,0.00,0.00,1.10,"",0,0.0,-6,-23.1,-6,-25.0,-3,-12.5,-18564,-5.7,0,0.0,0,0.0,185,18.2
"18061","1","9261","76","0","2019","1","","Harrison County, Indiana","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,16,18,17,290622,0,0,1315,"",5.43,0.96,1.08,1.03,1.25,0.00,0.00,1.22,"",0,0.0,-6,-27.3,-5,-21.7,-8,-32.0,-100230,-25.6,0,0.0,0,0.0,26,2.0
"18061","1","9261","76","0","2019","2","","Harrison County, Indiana","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,20,18,21,307142,0,0,1201,"",5.34,1.18,1.09,1.28,1.30,0.00,0.00,1.10,"",0,0.0,-6,-23.1,-6,-25.0,-3,-12.5,-18564,-5.7,0,0.0,0,0.0,185,18.2
"18061","1","92611","77","0","2019","1","-","Harrison County, Indiana","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18061","1","92611","77","0","2019","2","","Harrison County, Indiana","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,1,1885,0,0,435,"",5.31,0.00,0.00,0.33,0.04,0.00,0.00,0.40,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18061","1","926110","78","0","2019","1","-","Harrison County, Indiana","Federal Government","NAICS 926110 Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18061","1","926110","78","0","2019","2","","Harrison County, Indiana","Federal Government","NAICS 926110 Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,1,1885,0,0,435,"",5.31,0.00,0.00,0.33,0.04,0.00,0.00,0.40,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18061","1","92614","77","0","2019","1","","Harrison County, Indiana","Federal Government","NAICS 92614 Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,16,18,17,290622,0,0,1315,"",13.89,5.37,5.74,5.61,8.32,0.00,0.00,1.49,"",0,0.0,-6,-27.3,-5,-21.7,-8,-32.0,-100230,-25.6,0,0.0,0,0.0,26,2.0
"18061","1","92614","77","0","2019","2","","Harrison County, Indiana","Federal Government","NAICS 92614 Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,20,18,20,305257,0,0,1215,"",9.30,6.24,5.97,6.60,8.08,0.00,0.00,1.29,"",-1,-33.3,-6,-23.1,-6,-25.0,-4,-16.7,-20449,-6.3,0,0.0,0,0.0,199,19.6
