"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18085","0","10","70","0","2019","1","","Kosciusko County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1931,38569,38681,39147,525554417,243871640,3199778,1042,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-17,-0.9,842,2.2,629,1.7,483,1.2,12319464,2.4,3804783,1.6,-365199,-10.2,7,0.7
"18085","0","10","70","0","2019","2","","Kosciusko County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1960,39008,39578,39299,474125636,84494411,1120621,928,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,0.3,439,1.1,343,0.9,220,0.6,17996951,3.9,22513426,36.3,151842,15.7,27,3.0
"18085","1","10","71","0","2019","1","","Kosciusko County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,140,146,152,2271493,0,0,1197,"",1.49,0.19,0.20,0.20,0.18,0.00,0.00,0.89,"",1,6.2,-16,-10.3,-2,-1.4,-3,-1.9,-104516,-4.4,0,0.0,0,0.0,2,0.2
"18085","1","10","71","0","2019","2","","Kosciusko County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,152,151,149,2520064,0,0,1287,"",1.40,0.21,0.20,0.20,0.19,0.00,0.00,0.93,"",0,0.0,-6,-3.8,-6,-3.8,-5,-3.2,61664,2.5,0,0.0,0,0.0,77,6.4
"18085","1","102","72","0","2019","1","","Kosciusko County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,140,146,152,2271493,0,0,1197,"",1.50,0.19,0.20,0.21,0.18,0.00,0.00,0.89,"",1,6.2,-16,-10.3,-2,-1.4,-3,-1.9,-104516,-4.4,0,0.0,0,0.0,2,0.2
"18085","1","102","72","0","2019","2","","Kosciusko County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,152,151,149,2520064,0,0,1287,"",1.40,0.21,0.21,0.20,0.19,0.00,0.00,0.93,"",0,0.0,-6,-3.8,-6,-3.8,-5,-3.2,61664,2.5,0,0.0,0,0.0,77,6.4
"18085","1","1021","73","0","2019","1","","Kosciusko County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,101,106,107,1409102,0,0,1036,"",2.09,0.57,0.59,0.59,0.61,0.00,0.00,1.04,"",0,0.0,-8,-7.3,0,0.0,-2,-1.8,81649,6.2,0,0.0,0,0.0,91,9.6
"18085","1","1021","73","0","2019","2","","Kosciusko County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,109,110,109,1654544,0,0,1164,"",2.08,0.61,0.61,0.61,0.67,0.00,0.00,1.09,"",0,0.0,-2,-1.8,-3,-2.7,3,2.8,104832,6.8,0,0.0,0,0.0,80,7.4
"18085","1","1028","73","0","2019","1","","Kosciusko County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,39,40,45,862391,0,0,1605,"",1.09,0.10,0.10,0.11,0.11,0.00,0.00,1.06,"",1,25.0,-8,-17.0,-2,-4.8,-1,-2.2,-186165,-17.8,0,0.0,0,0.0,-187,-10.4
"18085","1","1028","73","0","2019","2","","Kosciusko County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,43,41,40,865520,0,0,1611,"",0.87,0.11,0.10,0.10,0.11,0.00,0.00,1.06,"",0,0.0,-4,-8.5,-3,-6.8,-8,-16.7,-43168,-4.8,0,0.0,0,0.0,102,6.8
