"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18087","0","10","70","0","2019","1","","Lagrange County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",903,14055,14053,14142,139645237,91078825,2033841,763,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,0.4,-51,-0.4,-203,-1.4,-407,-2.8,-18204308,-11.5,-5092396,-5.3,-413638,-16.9,-86,-10.1
"18087","0","10","70","0","2019","2","","Lagrange County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",908,14073,14360,14299,156545881,24110668,378999,845,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,0.3,-437,-3.0,-402,-2.7,-580,-3.9,-12258026,-7.3,-855576,-3.4,-94000,-19.9,-37,-4.2
"18087","1","10","71","0","2019","1","","Lagrange County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,53,51,53,635610,0,0,934,"",1.88,0.20,0.19,0.20,0.18,0.00,0.00,0.95,"",-1,-9.1,-2,-3.6,-2,-3.8,3,6.0,-6066,-0.9,0,0.0,0,0.0,-3,-0.3
"18087","1","10","71","0","2019","2","","Lagrange County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,53,56,56,760931,0,0,1064,"",2.08,0.20,0.21,0.21,0.17,0.00,0.00,0.84,"",0,0.0,-1,-1.9,4,7.7,2,3.7,33106,4.5,0,0.0,0,0.0,14,1.3
"18087","1","102","72","0","2019","1","","Lagrange County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,53,51,53,635610,0,0,934,"",1.88,0.20,0.19,0.20,0.19,0.00,0.00,0.95,"",-1,-9.1,-2,-3.6,-2,-3.8,3,6.0,-6066,-0.9,0,0.0,0,0.0,-3,-0.3
"18087","1","102","72","0","2019","2","","Lagrange County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,53,56,56,760931,0,0,1064,"",2.08,0.20,0.21,0.21,0.18,0.00,0.00,0.84,"",0,0.0,-1,-1.9,4,7.7,2,3.7,33106,4.5,0,0.0,0,0.0,14,1.3
"18087","1","1021","73","0","2019","1","","Lagrange County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,48,45,47,539917,0,0,890,"",2.61,0.74,0.69,0.72,0.88,0.00,0.00,1.22,"",-1,-12.5,-2,-4.0,-3,-6.2,2,4.4,-10254,-1.9,0,0.0,0,0.0,2,0.2
"18087","1","1021","73","0","2019","2","","Lagrange County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,45,49,50,666846,0,0,1069,"",2.99,0.70,0.75,0.77,0.82,0.00,0.00,1.10,"",0,0.0,-3,-6.2,3,6.5,2,4.2,30409,4.8,0,0.0,0,0.0,35,3.4
"18087","1","1028","73","0","2019","1","","Lagrange County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,5,6,6,95693,0,0,1299,"",1.40,0.03,0.04,0.04,0.05,0.00,0.00,1.17,"",0,0.0,0,0.0,1,20.0,1,20.0,4188,4.6,0,0.0,0,0.0,-109,-7.7
"18087","1","1028","73","0","2019","2","","Lagrange County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,8,7,6,94085,0,0,1034,"",1.40,0.06,0.05,0.04,0.04,0.00,0.00,0.74,"",0,0.0,2,33.3,1,16.7,0,0.0,2697,3.0,0,0.0,0,0.0,-138,-11.8
