"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18095","0","10","70","0","2019","1","","Madison County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2203,39222,39331,39596,383283421,193703093,3245233,749,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.1,209,0.5,-64,-0.2,-226,-0.6,6295368,1.7,4653442,2.5,-334143,-9.3,13,1.8
"18095","0","10","70","0","2019","2","","Madison County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2212,39713,39796,39173,395937898,64087524,1040086,770,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-0.3,-166,-0.4,-427,-1.1,-484,-1.2,10800618,2.8,-711754,-1.1,-42914,-4.0,28,3.8
"18095","1","10","71","0","2019","1","","Madison County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,238,237,239,3452138,0,0,1116,"",1.00,0.32,0.31,0.32,0.36,0.00,0.00,1.16,"",1,8.3,-12,-4.8,1,0.4,-2,-0.8,115793,3.5,0,0.0,0,0.0,57,5.4
"18095","1","10","71","0","2019","2","","Madison County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,243,242,246,3767132,0,0,1189,"",1.01,0.32,0.32,0.33,0.34,0.00,0.00,1.04,"",0,0.0,2,0.8,0,0.0,3,1.2,123712,3.4,0,0.0,0,0.0,31,2.7
"18095","1","102","72","0","2019","1","","Madison County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,238,237,239,3452138,0,0,1116,"",1.00,0.32,0.32,0.32,0.37,0.00,0.00,1.15,"",1,8.3,-12,-4.8,1,0.4,-2,-0.8,115793,3.5,0,0.0,0,0.0,57,5.4
"18095","1","102","72","0","2019","2","","Madison County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,243,242,246,3767132,0,0,1189,"",1.01,0.33,0.33,0.34,0.34,0.00,0.00,1.04,"",0,0.0,2,0.8,0,0.0,3,1.2,123712,3.4,0,0.0,0,0.0,31,2.7
"18095","1","1021","73","0","2019","1","","Madison County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,197,196,195,2798250,0,0,1098,"",1.38,1.09,1.08,1.07,1.66,0.00,0.00,1.54,"",1,12.5,-8,-3.9,2,1.0,0,0.0,193418,7.4,0,0.0,0,0.0,86,8.5
"18095","1","1021","73","0","2019","2","","Madison County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,199,201,202,3117052,0,0,1195,"",1.38,1.10,1.11,1.14,1.51,0.00,0.00,1.35,"",0,0.0,4,2.1,2,1.0,5,2.5,121775,4.1,0,0.0,0,0.0,25,2.1
"18095","1","1028","73","0","2019","1","","Madison County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,41,41,44,653888,0,0,1198,"",0.76,0.10,0.10,0.11,0.11,0.00,0.00,1.10,"",0,0.0,-4,-8.9,-1,-2.4,-2,-4.3,-77625,-10.6,0,0.0,0,0.0,-71,-5.6
"18095","1","1028","73","0","2019","2","","Madison County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,44,41,44,650080,0,0,1163,"",0.77,0.11,0.10,0.11,0.10,0.00,0.00,0.92,"",0,0.0,-2,-4.3,-2,-4.7,-2,-4.3,1937,0.3,0,0.0,0,0.0,55,5.0
"18095","1","48-49","74","0","2019","1","","Madison County, Indiana","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,197,196,195,2798250,0,0,1098,"",1.42,1.18,1.18,1.17,1.78,0.00,0.00,1.51,"",1,12.5,-8,-3.9,2,1.0,0,0.0,193418,7.4,0,0.0,0,0.0,86,8.5
"18095","1","48-49","74","0","2019","2","","Madison County, Indiana","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,199,201,202,3117052,0,0,1195,"",1.42,1.20,1.21,1.24,1.62,0.00,0.00,1.33,"",0,0.0,4,2.1,2,1.0,5,2.5,121775,4.1,0,0.0,0,0.0,25,2.1
"18095","1","491","75","0","2019","1","","Madison County, Indiana","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,197,196,195,2798250,0,0,1098,"",1.42,1.21,1.20,1.19,1.87,0.00,0.00,1.55,"",1,12.5,-8,-3.9,2,1.0,0,0.0,193418,7.4,0,0.0,0,0.0,86,8.5
"18095","1","491","75","0","2019","2","","Madison County, Indiana","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,199,201,202,3117052,0,0,1195,"",1.43,1.22,1.24,1.27,1.68,0.00,0.00,1.36,"",0,0.0,4,2.1,2,1.0,5,2.5,121775,4.1,0,0.0,0,0.0,25,2.1
