"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18099","0","10","70","0","2019","1","","Marshall County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1048,18088,18061,18220,174455347,99508663,1530389,740,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,0.8,-44,-0.2,-137,-0.8,-97,-0.5,-2566884,-1.5,-649037,-0.6,-467701,-23.4,-8,-1.1
"18099","0","10","70","0","2019","2","","Marshall County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1057,18336,18647,18836,181507302,28079844,418888,750,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,1.0,-41,-0.2,-78,-0.4,-376,-2.0,1999956,1.1,210192,0.8,-42861,-9.3,14,1.9
"18099","1","10","71","0","2019","1","","Marshall County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,94,95,99,1094148,0,0,877,"",1.78,0.27,0.27,0.28,0.25,0.00,0.00,0.92,"",0,0.0,-12,-11.3,-5,-5.0,0,0.0,-16084,-1.4,0,0.0,0,0.0,37,4.4
"18099","1","10","71","0","2019","2","","Marshall County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,99,94,98,1260705,0,0,1000,"",1.78,0.28,0.27,0.27,0.25,0.00,0.00,0.89,"",0,0.0,-1,-1.0,0,0.0,-2,-2.0,47248,3.9,0,0.0,0,0.0,48,5.0
"18099","1","102","72","0","2019","1","","Marshall County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,94,95,99,1094148,0,0,877,"",1.79,0.28,0.28,0.29,0.26,0.00,0.00,0.92,"",0,0.0,-12,-11.3,-5,-5.0,0,0.0,-16084,-1.4,0,0.0,0,0.0,37,4.4
"18099","1","102","72","0","2019","2","","Marshall County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,99,94,98,1260705,0,0,1000,"",1.79,0.29,0.27,0.28,0.25,0.00,0.00,0.89,"",0,0.0,-1,-1.0,0,0.0,-2,-2.0,47248,3.9,0,0.0,0,0.0,48,5.0
"18099","1","1021","73","0","2019","1","","Marshall County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,83,83,84,946275,0,0,873,"",2.57,0.99,1.00,1.00,1.23,0.00,0.00,1.24,"",0,0.0,-7,-7.8,-2,-2.4,1,1.2,15855,1.7,0,0.0,0,0.0,41,4.9
"18099","1","1021","73","0","2019","2","","Marshall County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,85,80,82,1101772,0,0,1029,"",2.57,1.02,0.94,0.96,1.16,0.00,0.00,1.20,"",0,0.0,-2,-2.3,-1,-1.2,-4,-4.7,38285,3.6,0,0.0,0,0.0,63,6.5
"18099","1","1028","73","0","2019","1","","Marshall County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,11,12,15,147873,0,0,898,"",1.20,0.06,0.06,0.08,0.06,0.00,0.00,0.84,"",0,0.0,-5,-31.2,-3,-20.0,-1,-6.2,-31939,-17.8,0,0.0,0,0.0,15,1.7
"18099","1","1028","73","0","2019","2","","Marshall County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,14,14,16,158933,0,0,834,"",1.21,0.07,0.07,0.08,0.05,0.00,0.00,0.68,"",0,0.0,1,7.7,1,7.7,2,14.3,8963,6.0,0,0.0,0,0.0,-31,-3.6
