"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18101","0","10","70","0","2019","1","","Martin County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",250,7594,7573,7598,125036633,18838310,269104,1267,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,2.0,463,6.5,392,5.5,393,5.5,6765149,5.7,1762813,10.3,-7792,-2.8,-1,-0.1
"18101","0","10","70","0","2019","2","","Martin County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",250,7512,7700,7848,145869673,4281616,70503,1460,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9,3.7,317,4.4,411,5.6,370,4.9,12179209,9.1,47853,1.1,4185,6.3,55,3.9
"18101","1","10","71","0","2019","1","","Martin County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,4485,4482,4486,92049799,0,0,1579,"",4.75,30.85,30.88,30.96,29.83,0.00,0.00,0.97,"",0,0.0,160,3.7,154,3.6,157,3.6,2917648,3.3,0,0.0,0,0.0,-5,-0.3
"18101","1","10","71","0","2019","2","","Martin County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,4491,4580,4718,112439409,0,0,1882,"",4.80,31.49,31.40,31.69,27.25,0.00,0.00,0.86,"",0,0.0,169,3.9,240,5.5,230,5.1,8592094,8.3,0,0.0,0,0.0,60,3.3
"18101","1","102","72","0","2019","1","","Martin County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,4485,4482,4486,92049799,0,0,1579,"",4.76,31.44,31.47,31.55,30.39,0.00,0.00,0.97,"",0,0.0,160,3.7,154,3.6,157,3.6,2917648,3.3,0,0.0,0,0.0,-5,-0.3
"18101","1","102","72","0","2019","2","","Martin County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,4491,4580,4718,112439409,0,0,1882,"",4.81,32.10,32.01,32.32,27.79,0.00,0.00,0.86,"",0,0.0,169,3.9,240,5.5,230,5.1,8592094,8.3,0,0.0,0,0.0,60,3.3
"18101","1","1021","73","0","2019","1","","Martin County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,33,32,30,330321,0,0,802,"",5.39,0.94,0.92,0.86,0.60,0.00,0.00,0.66,"",0,0.0,0,0.0,2,6.7,-1,-3.2,311,0.1,0,0.0,0,0.0,-8,-1.0
"18101","1","1021","73","0","2019","2","","Martin County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,31,31,33,408599,0,0,993,"",5.44,0.90,0.89,0.93,0.54,0.00,0.00,0.59,"",0,0.0,0,0.0,-4,-11.4,1,3.1,19510,5.0,0,0.0,0,0.0,77,8.4
"18101","1","1024","73","0","2019","1","","Martin County, Indiana","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,222,227,226,3966150,0,0,1356,"",27.84,63.98,65.96,65.56,47.47,0.00,0.00,0.73,"",0,0.0,-12,-5.1,-8,-3.4,-6,-2.6,-216785,-5.2,0,0.0,0,0.0,-21,-1.5
"18101","1","1024","73","0","2019","2","","Martin County, Indiana","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,224,224,231,4709329,0,0,1601,"",28.03,66.53,64.34,64.67,45.63,0.00,0.00,0.70,"",0,0.0,-5,-2.2,-3,-1.3,3,1.3,-11463,-0.2,0,0.0,0,0.0,8,0.5
