"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18109","0","10","70","0","2019","1","","Morgan County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1241,15480,15427,15706,143051248,79629873,1287780,708,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,0.4,178,1.2,33,0.2,95,0.6,-3769875,-2.6,-918812,-1.1,-158664,-11.0,-24,-3.3
"18109","0","10","70","0","2019","2","","Morgan County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1245,15752,15958,15837,152051720,26267974,446112,738,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9,0.7,1,0.0,-222,-1.4,-126,-0.8,5536703,3.8,-424347,-1.6,-15337,-3.3,32,4.5
"18109","1","10","71","0","2019","1","","Morgan County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,93,97,100,1223275,0,0,973,"",0.96,0.31,0.33,0.33,0.35,0.00,0.00,1.07,"",0,0.0,-3,-3.1,6,6.6,8,8.7,-3892,-0.3,0,0.0,0,0.0,-42,-4.1
"18109","1","10","71","0","2019","2","","Morgan County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,98,98,97,1371185,0,0,1080,"",0.96,0.33,0.32,0.32,0.32,0.00,0.00,0.98,"",1,16.7,6,6.5,4,4.3,3,3.2,-28916,-2.1,0,0.0,0,0.0,-74,-6.4
"18109","1","102","72","0","2019","1","","Morgan County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,93,97,100,1223275,0,0,973,"",0.96,0.32,0.33,0.34,0.35,0.00,0.00,1.06,"",0,0.0,-3,-3.1,6,6.6,8,8.7,-3892,-0.3,0,0.0,0,0.0,-42,-4.1
"18109","1","102","72","0","2019","2","","Morgan County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,98,98,97,1371185,0,0,1080,"",0.97,0.33,0.33,0.33,0.33,0.00,0.00,0.98,"",1,16.7,6,6.5,4,4.3,3,3.2,-28916,-2.1,0,0.0,0,0.0,-74,-6.4
"18109","1","1021","73","0","2019","1","","Morgan County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,93,97,100,1223275,0,0,973,"",1.90,1.30,1.36,1.38,1.94,0.00,0.00,1.44,"",0,0.0,-3,-3.1,6,6.6,8,8.7,-3892,-0.3,0,0.0,0,0.0,-42,-4.1
"18109","1","1021","73","0","2019","2","","Morgan County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,98,98,97,1371185,0,0,1080,"",1.91,1.36,1.35,1.35,1.73,0.00,0.00,1.28,"",1,16.7,6,6.5,4,4.3,3,3.2,-28916,-2.1,0,0.0,0,0.0,-74,-6.4
"18109","1","48-49","74","0","2019","1","","Morgan County, Indiana","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,93,97,100,1223275,0,0,973,"",1.95,1.42,1.49,1.51,2.08,0.00,0.00,1.42,"",0,0.0,-3,-3.1,6,6.6,8,8.7,-3892,-0.3,0,0.0,0,0.0,-42,-4.1
"18109","1","48-49","74","0","2019","2","","Morgan County, Indiana","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,98,98,97,1371185,0,0,1080,"",1.96,1.49,1.47,1.47,1.85,0.00,0.00,1.26,"",1,16.7,6,6.5,4,4.3,3,3.2,-28916,-2.1,0,0.0,0,0.0,-74,-6.4
