"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18113","0","10","70","0","2019","1","","Noble County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",889,18420,18394,18574,188204201,113538945,2402301,784,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",16,1.8,262,1.4,172,0.9,219,1.2,3051128,1.6,-1164144,-1.0,-347444,-12.6,3,0.4
"18113","0","10","70","0","2019","2","","Noble County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",899,18580,18695,18685,188665357,27163206,508733,778,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",18,2.0,90,0.5,2,0.0,-184,-1.0,6201878,3.4,-11605,0.0,-71310,-12.3,27,3.6
"18113","1","10","71","0","2019","1","","Noble County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,77,79,83,913718,0,0,882,"",2.29,0.22,0.22,0.23,0.20,0.00,0.00,0.87,"",0,0.0,-6,-7.2,4,5.3,7,9.2,-23695,-2.5,0,0.0,0,0.0,-42,-4.5
"18113","1","10","71","0","2019","2","","Noble County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,83,79,81,1059479,0,0,1006,"",2.29,0.24,0.22,0.23,0.20,0.00,0.00,0.87,"",0,0.0,1,1.2,1,1.3,4,5.2,3075,0.3,0,0.0,0,0.0,-23,-2.2
"18113","1","102","72","0","2019","1","","Noble County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,77,79,83,913718,0,0,882,"",2.30,0.22,0.23,0.24,0.20,0.00,0.00,0.87,"",0,0.0,-6,-7.2,4,5.3,7,9.2,-23695,-2.5,0,0.0,0,0.0,-42,-4.5
"18113","1","102","72","0","2019","2","","Noble County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,83,79,81,1059479,0,0,1006,"",2.29,0.24,0.23,0.23,0.20,0.00,0.00,0.87,"",0,0.0,1,1.2,1,1.3,4,5.2,3075,0.3,0,0.0,0,0.0,-23,-2.2
"18113","1","1021","73","0","2019","1","","Noble County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,65,67,66,725972,0,0,846,"",3.79,0.76,0.79,0.77,0.88,0.00,0.00,1.13,"",0,0.0,-2,-3.0,5,8.1,3,4.8,3157,0.4,0,0.0,0,0.0,-23,-2.6
"18113","1","1021","73","0","2019","2","","Noble County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,67,65,67,865601,0,0,1004,"",3.78,0.79,0.76,0.79,0.88,0.00,0.00,1.13,"",0,0.0,2,3.1,0,0.0,2,3.1,-3344,-0.4,0,0.0,0,0.0,-24,-2.3
"18113","1","1028","73","0","2019","1","","Noble County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,12,12,17,187746,0,0,1057,"",0.95,0.06,0.06,0.09,0.07,0.00,0.00,0.93,"",0,0.0,-4,-25.0,-1,-7.7,4,30.8,-26852,-12.5,0,0.0,0,0.0,-122,-10.3
"18113","1","1028","73","0","2019","2","","Noble County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,16,14,14,193878,0,0,1017,"",0.95,0.08,0.07,0.07,0.06,0.00,0.00,0.79,"",0,0.0,-1,-5.9,1,7.7,2,16.7,6419,3.4,0,0.0,0,0.0,-13,-1.3
