"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18117","0","10","70","0","2019","1","","Orange County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",368,7690,7780,7633,64626839,43640362,603054,646,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,0.8,53,0.7,271,3.6,273,3.7,1401126,2.2,1212579,2.9,-119486,-16.5,-2,-0.3
"18117","0","10","70","0","2019","2","","Orange County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",369,7468,7629,7580,63956658,13553003,175240,651,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,0.8,64,0.9,142,1.9,170,2.3,-864358,-1.3,-543663,-3.9,-29806,-14.5,-20,-3.0
"18117","1","10","71","0","2019","1","","Orange County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,40,38,44,482501,0,0,913,"",2.77,0.27,0.25,0.30,0.30,0.00,0.00,1.10,"",0,0.0,0,0.0,-5,-11.6,-1,-2.2,19122,4.1,0,0.0,0,0.0,78,9.3
"18117","1","10","71","0","2019","2","","Orange County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,43,42,43,564962,0,0,1019,"",2.79,0.30,0.29,0.30,0.31,0.00,0.00,1.05,"",0,0.0,0,0.0,1,2.4,1,2.4,25475,4.7,0,0.0,0,0.0,31,3.1
"18117","1","102","72","0","2019","1","","Orange County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,40,38,44,482501,0,0,913,"",2.77,0.28,0.26,0.31,0.31,0.00,0.00,1.10,"",0,0.0,0,0.0,-5,-11.6,-1,-2.2,19122,4.1,0,0.0,0,0.0,78,9.3
"18117","1","102","72","0","2019","2","","Orange County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,43,42,43,564962,0,0,1019,"",2.79,0.31,0.30,0.30,0.32,0.00,0.00,1.05,"",0,0.0,0,0.0,1,2.4,1,2.4,25475,4.7,0,0.0,0,0.0,31,3.1
"18117","1","1021","73","0","2019","1","","Orange County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,37,35,37,436921,0,0,925,"",3.66,1.04,0.97,1.05,1.53,0.00,0.00,1.50,"",0,0.0,1,2.8,-4,-10.3,-1,-2.6,27333,6.7,0,0.0,0,0.0,89,10.6
"18117","1","1021","73","0","2019","2","","Orange County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,37,38,38,518080,0,0,1058,"",3.68,1.09,1.10,1.11,1.55,0.00,0.00,1.42,"",0,0.0,-2,-5.1,1,2.7,0,0.0,26238,5.3,0,0.0,0,0.0,62,6.2
"18117","1","1028","73","0","2019","1","","Orange County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,3,3,7,45580,0,0,809,"",2.29,0.04,0.04,0.09,0.05,0.00,0.00,0.86,"",0,0.0,-1,-25.0,-1,-25.0,0,0.0,-8211,-15.3,0,0.0,0,0.0,-19,-2.3
"18117","1","1028","73","0","2019","2","","Orange County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,6,4,5,46882,0,0,721,"",2.30,0.08,0.05,0.06,0.04,0.00,0.00,0.67,"",0,0.0,2,50.0,0,0.0,1,25.0,-763,-1.6,0,0.0,0,0.0,-195,-21.3
