"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18123","0","10","70","0","2019","1","","Perry County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",365,6431,6485,6495,63641993,34028989,464627,757,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.5,88,1.4,42,0.7,24,0.4,978006,1.6,-101466,-0.3,-197586,-29.8,6,0.8
"18123","0","10","70","0","2019","2","","Perry County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",365,6479,6512,6494,70297892,8915736,115167,833,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,50,0.8,75,1.2,-32,-0.5,1535553,2.2,352553,4.1,-13431,-10.4,15,1.8
"18123","1","10","71","0","2019","1","","Perry County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,65,66,68,964542,0,0,1119,"",3.72,0.53,0.53,0.55,0.61,0.00,0.00,1.15,"",0,0.0,-7,-9.7,-1,-1.5,1,1.5,-26941,-2.7,0,0.0,0,0.0,8,0.7
"18123","1","10","71","0","2019","2","","Perry County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,70,73,76,1031369,0,0,1087,"",3.29,0.57,0.59,0.62,0.52,0.00,0.00,0.88,"",-1,-12.5,1,1.4,7,10.6,4,5.6,56709,5.8,0,0.0,0,0.0,0,0.0
"18123","1","102","72","0","2019","1","","Perry County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,65,66,68,964542,0,0,1119,"",3.73,0.54,0.54,0.56,0.63,0.00,0.00,1.15,"",0,0.0,-7,-9.7,-1,-1.5,1,1.5,-26941,-2.7,0,0.0,0,0.0,8,0.7
"18123","1","102","72","0","2019","2","","Perry County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,70,73,76,1031369,0,0,1087,"",3.29,0.58,0.60,0.63,0.53,0.00,0.00,0.88,"",-1,-12.5,1,1.4,7,10.6,4,5.6,56709,5.8,0,0.0,0,0.0,0,0.0
"18123","1","1021","73","0","2019","1","","Perry County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,24,25,27,310837,0,0,944,"",4.62,0.81,0.84,0.90,1.11,0.00,0.00,1.31,"",0,0.0,-5,-17.2,0,0.0,2,8.0,4364,1.4,0,0.0,0,0.0,49,5.5
"18123","1","1021","73","0","2019","2","","Perry County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,26,28,28,363795,0,0,1024,"",4.66,0.88,0.95,0.95,0.99,0.00,0.00,1.07,"",0,0.0,-1,-3.7,3,12.0,2,7.7,13248,3.8,0,0.0,0,0.0,-13,-1.3
"18123","1","1024","73","0","2019","1","","Perry County, Indiana","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,15,15,15,283822,0,0,1455,"",19.07,5.11,5.09,5.09,6.67,0.00,0.00,1.31,"",0,0.0,-1,-6.2,-2,-11.8,-2,-11.8,34830,14.0,0,0.0,0,0.0,306,26.6
"18123","1","1024","73","0","2019","2","","Perry County, Indiana","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,17,18,18,258263,0,0,1125,"",19.20,5.85,6.11,6.09,5.19,0.00,0.00,0.86,"",0,0.0,0,0.0,2,12.5,0,0.0,15196,6.3,0,0.0,0,0.0,25,2.3
"18123","1","1026","73","0","2019","1","","Perry County, Indiana","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",18.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-1,-100.0,-1,-100.0,-11956,-100.0,0,0.0,0,0.0,-920,-100.0
"18123","1","1026","73","0","2019","2","-","Perry County, Indiana","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18123","1","1028","73","0","2019","1","","Perry County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,26,26,26,369883,0,0,1094,"",1.15,0.39,0.39,0.39,0.39,0.00,0.00,1.00,"",0,0.0,0,0.0,2,8.3,2,8.3,-54179,-12.8,0,0.0,0,0.0,-228,-17.2
"18123","1","1028","73","0","2019","2","","Perry County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,27,27,30,409311,0,0,1124,"",1.16,0.40,0.40,0.45,0.34,0.00,0.00,0.82,"",0,0.0,3,12.5,3,12.5,3,11.1,40874,11.1,0,0.0,0,0.0,-10,-0.9
