"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18131","0","10","70","0","2019","1","","Pulaski County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",350,4854,4849,4926,55016597,26761839,314941,868,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,247,5.4,213,4.6,253,5.4,5624310,11.4,1134035,4.4,-37364,-10.6,49,6.0
"18131","0","10","70","0","2019","2","","Pulaski County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",356,4875,4921,4985,48397776,5628433,74823,756,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,1.1,166,3.5,166,3.5,121,2.5,2045507,4.4,68892,1.2,-8756,-10.5,9,1.2
"18131","1","10","71","0","2019","1","","Pulaski County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,38,38,44,478928,0,0,921,"",3.88,0.41,0.41,0.47,0.35,0.00,0.00,0.82,"",0,0.0,-1,-2.6,-1,-2.6,1,2.3,17875,3.9,0,0.0,0,0.0,42,4.8
"18131","1","10","71","0","2019","2","","Pulaski County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,41,40,38,525879,0,0,1020,"",3.85,0.44,0.43,0.40,0.38,0.00,0.00,0.90,"",0,0.0,-1,-2.4,-1,-2.4,-3,-7.3,17122,3.4,0,0.0,0,0.0,73,7.7
"18131","1","102","72","0","2019","1","","Pulaski County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,38,38,44,478928,0,0,921,"",3.89,0.42,0.42,0.48,0.36,0.00,0.00,0.82,"",0,0.0,-1,-2.6,-1,-2.6,1,2.3,17875,3.9,0,0.0,0,0.0,42,4.8
"18131","1","102","72","0","2019","2","","Pulaski County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,41,40,38,525879,0,0,1020,"",3.86,0.45,0.44,0.41,0.39,0.00,0.00,0.91,"",0,0.0,-1,-2.4,-1,-2.4,-3,-7.3,17122,3.4,0,0.0,0,0.0,73,7.7
"18131","1","1021","73","0","2019","1","","Pulaski County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,32,31,33,367944,0,0,884,"",4.81,1.43,1.38,1.46,1.52,0.00,0.00,1.07,"",0,0.0,0,0.0,-1,-3.1,1,3.1,34441,10.3,0,0.0,0,0.0,82,10.2
"18131","1","1021","73","0","2019","2","","Pulaski County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,32,32,31,416989,0,0,1013,"",4.77,1.44,1.43,1.37,1.65,0.00,0.00,1.17,"",0,0.0,-3,-8.6,-2,-5.9,-3,-8.8,19650,4.9,0,0.0,0,0.0,123,13.8
"18131","1","1028","73","0","2019","1","","Pulaski County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,6,7,11,110984,0,0,1067,"",3.61,0.12,0.14,0.22,0.13,0.00,0.00,0.85,"",0,0.0,-1,-14.3,0,0.0,0,0.0,-16566,-13.0,0,0.0,0,0.0,-110,-9.3
"18131","1","1028","73","0","2019","2","","Pulaski County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,9,8,7,108890,0,0,1047,"",3.58,0.18,0.16,0.14,0.13,0.00,0.00,0.84,"",0,0.0,2,28.6,1,14.3,0,0.0,-2528,-2.3,0,0.0,0,0.0,-177,-14.5
