"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18139","0","10","70","0","2019","1","","Rush County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",407,4963,5043,5042,48533831,25803918,391556,744,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.5,70,1.4,81,1.6,96,1.9,2359673,5.1,451655,1.8,-62314,-13.7,24,3.3
"18139","0","10","70","0","2019","2","","Rush County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",411,5017,5074,4924,50357035,7108349,95943,774,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-9,-0.2,-22,-0.4,-35,-0.7,1787726,3.7,-912905,-11.4,-29563,-23.6,31,4.2
"18139","1","10","71","0","2019","1","","Rush County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,40,41,44,434743,0,0,803,"",2.92,0.42,0.42,0.46,0.36,0.00,0.00,0.84,"",0,0.0,-1,-2.4,1,2.5,4,10.0,-2077,-0.5,0,0.0,0,0.0,-30,-3.6
"18139","1","10","71","0","2019","2","","Rush County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,45,41,40,515433,0,0,944,"",2.92,0.47,0.43,0.43,0.36,0.00,0.00,0.82,"",0,0.0,0,0.0,2,5.1,0,0.0,38810,8.1,0,0.0,0,0.0,57,6.4
"18139","1","102","72","0","2019","1","","Rush County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,40,41,44,434743,0,0,803,"",2.93,0.43,0.43,0.47,0.37,0.00,0.00,0.84,"",0,0.0,-1,-2.4,1,2.5,4,10.0,-2077,-0.5,0,0.0,0,0.0,-30,-3.6
"18139","1","102","72","0","2019","2","","Rush County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,45,41,40,515433,0,0,944,"",2.92,0.48,0.43,0.44,0.37,0.00,0.00,0.82,"",0,0.0,0,0.0,2,5.1,0,0.0,38810,8.1,0,0.0,0,0.0,57,6.4
"18139","1","1021","73","0","2019","1","","Rush County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,33,33,34,358287,0,0,827,"",4.97,1.44,1.42,1.47,1.68,0.00,0.00,1.16,"",0,0.0,0,0.0,1,3.1,2,6.2,7127,2.0,0,0.0,0,0.0,-8,-1.0
"18139","1","1021","73","0","2019","2","","Rush County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,32,32,32,430786,0,0,1036,"",4.96,1.40,1.39,1.43,1.64,0.00,0.00,1.17,"",0,0.0,0,0.0,0,0.0,0,0.0,28290,7.0,0,0.0,0,0.0,68,7.0
"18139","1","1028","73","0","2019","1","","Rush County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,7,8,10,76456,0,0,706,"",1.03,0.14,0.15,0.19,0.10,0.00,0.00,0.65,"",0,0.0,-1,-12.5,0,0.0,2,25.0,-9204,-10.7,0,0.0,0,0.0,-118,-14.3
"18139","1","1028","73","0","2019","2","","Rush County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,13,9,8,84647,0,0,651,"",1.03,0.25,0.17,0.16,0.10,0.00,0.00,0.51,"",0,0.0,0,0.0,2,28.6,0,0.0,10520,14.2,0,0.0,0,0.0,40,6.5
"18139","1","48-49","74","0","2019","1","","Rush County, Indiana","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,33,33,34,358287,0,0,827,"",5.11,1.57,1.55,1.60,1.80,0.00,0.00,1.15,"",0,0.0,0,0.0,1,3.1,2,6.2,7127,2.0,0,0.0,0,0.0,-8,-1.0
"18139","1","48-49","74","0","2019","2","","Rush County, Indiana","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,32,32,32,430786,0,0,1036,"",5.10,1.52,1.51,1.56,1.76,0.00,0.00,1.15,"",0,0.0,0,0.0,0,0.0,0,0.0,28290,7.0,0,0.0,0,0.0,68,7.0
"18139","1","491","75","0","2019","1","","Rush County, Indiana","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,33,33,34,358287,0,0,827,"",5.14,1.60,1.58,1.63,1.89,0.00,0.00,1.18,"",0,0.0,0,0.0,1,3.1,2,6.2,7127,2.0,0,0.0,0,0.0,-8,-1.0
"18139","1","491","75","0","2019","2","","Rush County, Indiana","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,32,32,32,430786,0,0,1036,"",5.13,1.56,1.54,1.60,1.83,0.00,0.00,1.17,"",0,0.0,0,0.0,0,0.0,0,0.0,28290,7.0,0,0.0,0,0.0,68,7.0
