"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18147","0","10","70","0","2019","1","","Spencer County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",469,6048,6123,6404,71404271,35865883,473981,887,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.4,87,1.5,18,0.3,100,1.6,3787304,5.6,1095503,3.2,-25870,-5.2,38,4.5
"18147","0","10","70","0","2019","2","","Spencer County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",474,6932,7636,7775,69369624,10496954,127842,716,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",12,2.6,-204,-2.9,139,1.9,-86,-1.1,2696604,4.0,-547497,-5.0,-15331,-10.7,32,4.7
"18147","1","10","71","0","2019","1","","Spencer County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,61,61,61,742130,0,0,936,"",5.07,0.53,0.52,0.50,0.42,0.00,0.00,0.82,"",0,0.0,-2,-3.2,-1,-1.6,-2,-3.2,2507,0.3,0,0.0,0,0.0,28,3.1
"18147","1","10","71","0","2019","2","","Spencer County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,67,67,74,843105,0,0,935,"",5.06,0.51,0.46,0.50,0.43,0.00,0.00,0.88,"",0,0.0,2,3.1,4,6.3,4,5.7,31912,3.9,0,0.0,0,0.0,-10,-1.1
"18147","1","102","72","0","2019","1","","Spencer County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,61,61,61,742130,0,0,936,"",5.08,0.54,0.53,0.51,0.43,0.00,0.00,0.82,"",0,0.0,-2,-3.2,-1,-1.6,-2,-3.2,2507,0.3,0,0.0,0,0.0,28,3.1
"18147","1","102","72","0","2019","2","","Spencer County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,67,67,74,843105,0,0,935,"",5.07,0.52,0.47,0.51,0.44,0.00,0.00,0.88,"",0,0.0,2,3.1,4,6.3,4,5.7,31912,3.9,0,0.0,0,0.0,-10,-1.1
"18147","1","1021","73","0","2019","1","","Spencer County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,45,45,45,493470,0,0,844,"",7.90,1.61,1.59,1.53,1.57,0.00,0.00,1.00,"",0,0.0,-2,-4.3,-2,-4.3,0,0.0,14284,3.0,0,0.0,0,0.0,48,6.0
"18147","1","1021","73","0","2019","2","","Spencer County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,46,45,47,555278,0,0,929,"",7.89,1.45,1.30,1.33,1.54,0.00,0.00,1.13,"",0,0.0,-1,-2.1,-1,-2.2,3,6.8,-18232,-3.2,0,0.0,0,0.0,-37,-3.8
"18147","1","1026","73","0","2019","1","","Spencer County, Indiana","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,9,9,9,145526,0,0,1244,"",14.24,4.85,4.75,4.53,8.34,0.00,0.00,1.77,"",0,0.0,0,0.0,1,12.5,-2,-18.2,175,0.1,0,0.0,0,0.0,46,3.8
"18147","1","1026","73","0","2019","2","","Spencer County, Indiana","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,11,13,20,180608,0,0,947,"",14.28,5.08,5.03,7.32,9.72,0.00,0.00,1.65,"",0,0.0,0,0.0,3,30.0,1,5.3,43167,31.4,0,0.0,0,0.0,154,19.4
"18147","1","1028","73","0","2019","1","","Spencer County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,7,7,7,103134,0,0,1133,"",1.79,0.11,0.11,0.11,0.10,0.00,0.00,0.88,"",0,0.0,0,0.0,0,0.0,0,0.0,-11952,-10.4,0,0.0,0,0.0,-132,-10.4
"18147","1","1028","73","0","2019","2","","Spencer County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,10,9,7,107219,0,0,952,"",1.79,0.14,0.11,0.09,0.09,0.00,0.00,0.81,"",0,0.0,3,42.9,2,28.6,0,0.0,6977,7.0,0,0.0,0,0.0,-150,-13.6
"18147","1","48-49","74","0","2019","1","","Spencer County, Indiana","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,45,45,45,493470,0,0,844,"",8.12,1.75,1.74,1.66,1.68,0.00,0.00,0.98,"",0,0.0,-2,-4.3,-2,-4.3,0,0.0,14284,3.0,0,0.0,0,0.0,48,6.0
"18147","1","48-49","74","0","2019","2","","Spencer County, Indiana","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,46,45,47,555278,0,0,929,"",8.11,1.58,1.41,1.45,1.65,0.00,0.00,1.11,"",0,0.0,-1,-2.1,-1,-2.2,3,6.8,-18232,-3.2,0,0.0,0,0.0,-37,-3.8
"18147","1","491","75","0","2019","1","","Spencer County, Indiana","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,45,45,45,493470,0,0,844,"",8.18,1.79,1.77,1.70,1.77,0.00,0.00,1.01,"",0,0.0,-2,-4.3,-2,-4.3,0,0.0,14284,3.0,0,0.0,0,0.0,48,6.0
"18147","1","491","75","0","2019","2","","Spencer County, Indiana","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,46,45,47,555278,0,0,929,"",8.16,1.62,1.44,1.49,1.71,0.00,0.00,1.13,"",0,0.0,-1,-2.1,-1,-2.2,3,6.8,-18232,-3.2,0,0.0,0,0.0,-37,-3.8
"18147","1","4911","76","0","2019","1","","Spencer County, Indiana","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,45,45,45,493470,0,0,844,"",8.18,1.79,1.77,1.70,1.77,0.00,0.00,1.01,"",0,0.0,-2,-4.3,-2,-4.3,0,0.0,14284,3.0,0,0.0,0,0.0,48,6.0
"18147","1","4911","76","0","2019","2","","Spencer County, Indiana","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,46,45,47,555278,0,0,929,"",8.16,1.62,1.44,1.49,1.71,0.00,0.00,1.13,"",0,0.0,-1,-2.1,-1,-2.2,3,6.8,-18232,-3.2,0,0.0,0,0.0,-37,-3.8
"18147","1","49111","77","0","2019","1","","Spencer County, Indiana","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,45,45,45,493470,0,0,844,"",8.18,1.79,1.77,1.70,1.77,0.00,0.00,1.01,"",0,0.0,-2,-4.3,-2,-4.3,0,0.0,14284,3.0,0,0.0,0,0.0,48,6.0
"18147","1","49111","77","0","2019","2","","Spencer County, Indiana","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,46,45,47,555278,0,0,929,"",8.16,1.62,1.44,1.49,1.71,0.00,0.00,1.13,"",0,0.0,-1,-2.1,-1,-2.2,3,6.8,-18232,-3.2,0,0.0,0,0.0,-37,-3.8
"18147","1","491110","78","0","2019","1","","Spencer County, Indiana","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,45,45,45,493470,0,0,844,"",8.18,1.79,1.77,1.70,1.77,0.00,0.00,1.01,"",0,0.0,-2,-4.3,-2,-4.3,0,0.0,14284,3.0,0,0.0,0,0.0,48,6.0
