"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18157","0","10","70","0","2019","1","","Tippecanoe County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3471,85713,86558,86516,1079335333,439710661,7095063,962,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",51,1.5,2109,2.5,2568,3.1,2585,3.1,28861878,2.7,20097636,4.8,-899139,-11.2,-2,-0.2
"18157","0","10","70","0","2019","2","","Tippecanoe County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3532,86799,86686,85212,1047267132,115562977,1648075,934,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",93,2.7,1690,2.0,1312,1.5,587,0.7,55045203,5.5,-3870509,-3.2,-300841,-15.4,36,4.0
"18157","1","10","71","0","2019","1","","Tippecanoe County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,427,420,418,6622315,0,0,1208,"",1.12,0.26,0.25,0.25,0.25,0.00,0.00,0.97,"",-1,-4.2,15,3.6,8,1.9,-1,-0.2,-324384,-4.7,0,0.0,0,0.0,-82,-6.4
"18157","1","10","71","0","2019","2","","Tippecanoe County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,419,403,417,6915616,0,0,1288,"",1.12,0.25,0.25,0.26,0.23,0.00,0.00,0.92,"",-1,-4.2,-5,-1.2,-20,-4.7,-3,-0.7,52390,0.8,0,0.0,0,0.0,38,3.0
"18157","1","102","72","0","2019","1","","Tippecanoe County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",23,427,420,418,6622315,0,0,1208,"",1.13,0.27,0.26,0.26,0.25,0.00,0.00,0.97,"",-1,-4.2,15,3.6,8,1.9,-1,-0.2,-324384,-4.7,0,0.0,0,0.0,-82,-6.4
"18157","1","102","72","0","2019","2","","Tippecanoe County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",23,419,403,417,6915616,0,0,1288,"",1.12,0.26,0.25,0.26,0.24,0.00,0.00,0.93,"",-1,-4.2,-5,-1.2,-20,-4.7,-3,-0.7,52390,0.8,0,0.0,0,0.0,38,3.0
"18157","1","1021","73","0","2019","1","","Tippecanoe County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,249,243,244,3681186,0,0,1154,"",0.87,0.63,0.61,0.61,0.77,0.00,0.00,1.26,"",0,0.0,16,6.9,9,3.8,6,2.5,114299,3.2,0,0.0,0,0.0,-14,-1.2
"18157","1","1021","73","0","2019","2","","Tippecanoe County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,244,239,247,4010880,0,0,1268,"",0.87,0.62,0.61,0.64,0.73,0.00,0.00,1.18,"",0,0.0,8,3.4,0,0.0,4,1.6,53377,1.3,0,0.0,0,0.0,-4,-0.3
"18157","1","1028","73","0","2019","1","","Tippecanoe County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",14,178,177,174,2941129,0,0,1283,"",1.70,0.20,0.20,0.19,0.18,0.00,0.00,0.92,"",-1,-6.7,-1,-0.6,-1,-0.6,-7,-3.9,-438683,-13.0,0,0.0,0,0.0,-167,-11.5
"18157","1","1028","73","0","2019","2","","Tippecanoe County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",14,175,164,170,2904736,0,0,1317,"",1.69,0.20,0.18,0.19,0.16,0.00,0.00,0.86,"",-1,-6.7,-13,-6.9,-20,-10.9,-7,-4.0,-987,0.0,0,0.0,0,0.0,96,7.9
