"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18159","0","10","70","0","2019","1","","Tipton County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",319,5369,5393,5464,63355116,32704259,564450,901,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,2.2,348,6.9,260,5.1,325,6.3,-16113986,-20.3,-4265189,-11.5,-208647,-27.0,-298,-24.9
"18159","0","10","70","0","2019","2","","Tipton County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",320,5487,5596,5478,58194616,6912137,108186,811,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,1.6,220,4.2,232,4.3,177,3.3,-17651148,-23.3,-273958,-3.8,-12814,-10.6,-288,-26.2
"18159","1","10","71","0","2019","1","","Tipton County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,33,33,39,359078,0,0,789,"",3.19,0.32,0.32,0.37,0.23,0.00,0.00,0.68,"",0,0.0,-2,-5.7,0,0.0,5,14.7,-10046,-2.7,0,0.0,0,0.0,-46,-5.5
"18159","1","10","71","0","2019","2","","Tipton County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,36,35,32,397989,0,0,892,"",3.21,0.35,0.33,0.31,0.24,0.00,0.00,0.74,"",0,0.0,0,0.0,4,12.9,1,3.2,1195,0.3,0,0.0,0,0.0,-42,-4.5
"18159","1","102","72","0","2019","1","","Tipton County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,33,33,39,359078,0,0,789,"",3.20,0.33,0.33,0.38,0.23,0.00,0.00,0.68,"",0,0.0,-2,-5.7,0,0.0,5,14.7,-10046,-2.7,0,0.0,0,0.0,-46,-5.5
"18159","1","102","72","0","2019","2","","Tipton County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,36,35,32,397989,0,0,892,"",3.22,0.35,0.34,0.31,0.25,0.00,0.00,0.74,"",0,0.0,0,0.0,4,12.9,1,3.2,1195,0.3,0,0.0,0,0.0,-42,-4.5
"18159","1","1021","73","0","2019","1","","Tipton County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,30,29,30,321283,0,0,833,"",5.28,1.21,1.16,1.19,1.15,0.00,0.00,0.97,"",0,0.0,3,11.1,0,0.0,0,0.0,4341,1.4,0,0.0,0,0.0,-17,-2.0
"18159","1","1021","73","0","2019","2","","Tipton County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,29,29,29,363056,0,0,963,"",5.31,1.16,1.14,1.17,1.20,0.00,0.00,1.04,"",0,0.0,0,0.0,2,7.4,2,7.4,10849,3.1,0,0.0,0,0.0,-16,-1.6
"18159","1","1028","73","0","2019","1","","Tipton County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,3,4,9,37795,0,0,545,"",1.32,0.05,0.07,0.16,0.04,0.00,0.00,0.42,"",0,0.0,-5,-62.5,0,0.0,5,125.0,-14387,-27.6,0,0.0,0,0.0,-208,-27.6
"18159","1","1028","73","0","2019","2","","Tipton County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,7,6,3,34933,0,0,504,"",1.33,0.12,0.10,0.05,0.04,0.00,0.00,0.38,"",0,0.0,0,0.0,2,50.0,-1,-25.0,-9654,-21.7,0,0.0,0,0.0,-182,-26.5
