"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18171","0","10","70","0","2019","1","","Warren County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",142,1867,1879,1894,20324874,10722810,150551,832,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-1.4,61,3.4,22,1.2,32,1.7,1360626,7.2,961926,9.9,-30770,-17.0,40,5.1
"18171","0","10","70","0","2019","2","","Warren County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",142,1921,1913,1937,20292329,2730518,37660,811,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-2.7,62,3.3,-9,-0.5,84,4.5,1607360,8.6,-201758,-6.9,-14689,-28.1,46,6.0
"18171","1","10","71","0","2019","1","","Warren County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,10,12,8,114986,0,0,885,"",4.78,0.28,0.33,0.22,0.23,0.00,0.00,0.82,"",-1,-20.0,-6,-37.5,1,9.1,-3,-27.3,-43028,-27.2,0,0.0,0,0.0,-75,-7.8
"18171","1","10","71","0","2019","2","","Warren County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,13,11,9,106438,0,0,744,"",4.83,0.36,0.30,0.24,0.19,0.00,0.00,0.62,"",-1,-20.0,2,18.2,-1,-8.3,-6,-40.0,-49596,-31.8,0,0.0,0,0.0,-204,-21.5
"18171","1","102","72","0","2019","1","","Warren County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,10,12,8,114986,0,0,885,"",4.79,0.29,0.34,0.23,0.23,0.00,0.00,0.82,"",-1,-20.0,-6,-37.5,1,9.1,-3,-27.3,-43028,-27.2,0,0.0,0,0.0,-75,-7.8
"18171","1","102","72","0","2019","2","","Warren County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,13,11,9,106438,0,0,744,"",4.84,0.36,0.31,0.25,0.19,0.00,0.00,0.62,"",-1,-20.0,2,18.2,-1,-8.3,-6,-40.0,-49596,-31.8,0,0.0,0,0.0,-204,-21.5
"18171","1","1021","73","0","2019","1","","Warren County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,6,5,5,46752,0,0,674,"",7.12,0.69,0.58,0.57,0.52,0.00,0.00,0.85,"",0,0.0,0,0.0,0,0.0,0,0.0,-3431,-6.8,0,0.0,0,0.0,-50,-6.9
"18171","1","1021","73","0","2019","2","","Warren County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,5,6,6,62250,0,0,845,"",7.18,0.57,0.69,0.68,0.59,0.00,0.00,0.91,"",0,0.0,0,0.0,1,20.0,1,20.0,2105,3.5,0,0.0,0,0.0,-80,-8.6
"18171","1","1028","73","0","2019","1","","Warren County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,4,7,3,68234,0,0,1125,"",2.96,0.21,0.36,0.15,0.22,0.00,0.00,0.93,"",-1,-50.0,-6,-60.0,1,16.7,-3,-50.0,-39597,-36.7,0,0.0,0,0.0,-6,-0.5
"18171","1","1028","73","0","2019","2","","Warren County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,8,5,3,44188,0,0,637,"",2.99,0.40,0.25,0.15,0.13,0.00,0.00,0.48,"",-1,-50.0,2,33.3,-2,-28.6,-7,-70.0,-51701,-53.9,0,0.0,0,0.0,-325,-33.8
"18171","1","48-49","74","0","2019","1","","Warren County, Indiana","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,6,5,5,46752,0,0,674,"",7.32,0.76,0.63,0.63,0.56,0.00,0.00,0.84,"",0,0.0,0,0.0,0,0.0,0,0.0,-3431,-6.8,0,0.0,0,0.0,-50,-6.9
