"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18173","0","10","70","0","2019","1","","Warrick County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1158,16265,16391,16684,199901301,95514594,1237461,935,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.1,689,4.4,612,3.9,697,4.4,11023885,5.8,1469346,1.6,-76088,-5.8,14,1.5
"18173","0","10","70","0","2019","2","","Warrick County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1174,16296,16512,16508,187843606,26935929,445291,879,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,0.9,309,1.9,255,1.6,128,0.8,4912822,2.7,-771731,-2.8,-52612,-10.6,11,1.3
"18173","1","10","71","0","2019","1","","Warrick County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,104,106,109,1365568,0,0,988,"",1.17,0.33,0.34,0.34,0.28,0.00,0.00,0.82,"",0,0.0,-5,-4.6,7,7.1,9,9.0,28598,2.1,0,0.0,0,0.0,-14,-1.4
"18173","1","10","71","0","2019","2","","Warrick County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,108,108,108,1479219,0,0,1054,"",1.17,0.35,0.35,0.34,0.28,0.00,0.00,0.80,"",0,0.0,9,9.1,4,3.8,-1,-0.9,45557,3.2,0,0.0,0,0.0,-6,-0.6
"18173","1","102","72","0","2019","1","","Warrick County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,104,106,109,1365568,0,0,988,"",1.18,0.34,0.34,0.35,0.28,0.00,0.00,0.82,"",0,0.0,-5,-4.6,7,7.1,9,9.0,28598,2.1,0,0.0,0,0.0,-14,-1.4
"18173","1","102","72","0","2019","2","","Warrick County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,108,108,108,1479219,0,0,1054,"",1.17,0.36,0.35,0.35,0.28,0.00,0.00,0.80,"",0,0.0,9,9.1,4,3.8,-1,-0.9,45557,3.2,0,0.0,0,0.0,-6,-0.6
"18173","1","1021","73","0","2019","1","","Warrick County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,80,79,82,940131,0,0,900,"",1.75,1.06,1.04,1.07,1.07,0.00,0.00,1.01,"",0,0.0,-2,-2.4,5,6.8,10,13.9,42112,4.7,0,0.0,0,0.0,-9,-1.0
"18173","1","1021","73","0","2019","2","","Warrick County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,80,82,80,1089067,0,0,1039,"",1.74,1.08,1.09,1.07,1.11,0.00,0.00,1.03,"",0,0.0,5,6.7,6,7.9,1,1.3,29637,2.8,0,0.0,0,0.0,-24,-2.3
"18173","1","1024","73","0","2019","1","","Warrick County, Indiana","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,21,22,22,370759,0,0,1316,"",6.01,2.83,2.95,2.91,2.78,0.00,0.00,0.96,"",0,0.0,-1,-4.5,0,0.0,1,4.8,-4524,-1.2,0,0.0,0,0.0,-16,-1.2
"18173","1","1024","73","0","2019","2","","Warrick County, Indiana","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,22,22,23,321833,0,0,1108,"",5.97,3.01,2.95,3.06,2.42,0.00,0.00,0.81,"",0,0.0,1,4.8,-3,-12.0,0,0.0,2164,0.7,0,0.0,0,0.0,39,3.6
"18173","1","1028","73","0","2019","1","","Warrick County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,3,5,5,54678,0,0,971,"",0.36,0.02,0.03,0.03,0.02,0.00,0.00,0.72,"",0,0.0,-2,-40.0,2,66.7,-2,-28.6,-8990,-14.1,0,0.0,0,0.0,-9,-0.9
"18173","1","1028","73","0","2019","2","","Warrick County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,6,4,5,68319,0,0,1051,"",0.36,0.04,0.02,0.03,0.02,0.00,0.00,0.73,"",0,0.0,3,100.0,1,33.3,-2,-28.6,13756,25.2,0,0.0,0,0.0,82,8.5
"18173","1","48-49","74","0","2019","1","","Warrick County, Indiana","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,80,79,82,940131,0,0,900,"",1.79,1.16,1.14,1.16,1.15,0.00,0.00,0.99,"",0,0.0,-2,-2.4,5,6.8,10,13.9,42112,4.7,0,0.0,0,0.0,-9,-1.0
"18173","1","48-49","74","0","2019","2","","Warrick County, Indiana","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,80,82,80,1089067,0,0,1039,"",1.79,1.17,1.19,1.17,1.19,0.00,0.00,1.01,"",0,0.0,5,6.7,6,7.9,1,1.3,29637,2.8,0,0.0,0,0.0,-24,-2.3
"18173","1","491","75","0","2019","1","","Warrick County, Indiana","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,80,79,82,940131,0,0,900,"",1.81,1.19,1.16,1.19,1.20,0.00,0.00,1.02,"",0,0.0,-2,-2.4,5,6.8,10,13.9,42112,4.7,0,0.0,0,0.0,-9,-1.0
"18173","1","491","75","0","2019","2","","Warrick County, Indiana","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,80,82,80,1089067,0,0,1039,"",1.80,1.20,1.22,1.19,1.24,0.00,0.00,1.03,"",0,0.0,5,6.7,6,7.9,1,1.3,29637,2.8,0,0.0,0,0.0,-24,-2.3
