"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18177","0","10","70","0","2019","1","","Wayne County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1395,30158,30361,30371,300595602,142115057,2233853,763,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-23,-1.6,128,0.4,22,0.1,-132,-0.4,2534965,0.9,321091,0.2,-184951,-7.6,6,0.8
"18177","0","10","70","0","2019","2","","Wayne County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1416,30420,30851,30408,296706775,46142620,693592,747,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-0.2,-399,-1.3,-140,-0.5,-413,-1.3,3156485,1.1,-1626241,-3.4,-61614,-8.2,16,2.2
"18177","1","10","71","0","2019","1","","Wayne County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,156,159,161,2320754,0,0,1125,"",2.19,0.27,0.27,0.28,0.31,0.00,0.00,1.14,"",0,0.0,-4,-2.5,-2,-1.2,5,3.2,26249,1.1,0,0.0,0,0.0,15,1.4
"18177","1","10","71","0","2019","2","","Wayne County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,161,163,162,2620190,0,0,1244,"",2.30,0.28,0.28,0.28,0.31,0.00,0.00,1.12,"",2,11.8,0,0.0,4,2.5,5,3.2,159881,6.5,0,0.0,0,0.0,54,4.5
"18177","1","102","72","0","2019","1","","Wayne County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,156,159,161,2320754,0,0,1125,"",2.20,0.28,0.28,0.28,0.32,0.00,0.00,1.14,"",0,0.0,-4,-2.5,-2,-1.2,5,3.2,26249,1.1,0,0.0,0,0.0,15,1.4
"18177","1","102","72","0","2019","2","","Wayne County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,161,163,162,2620190,0,0,1244,"",2.30,0.28,0.28,0.29,0.32,0.00,0.00,1.12,"",2,11.8,0,0.0,4,2.5,5,3.2,159881,6.5,0,0.0,0,0.0,54,4.5
"18177","1","1021","73","0","2019","1","","Wayne County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,96,100,104,1285718,0,0,989,"",3.14,0.69,0.71,0.74,0.97,0.00,0.00,1.36,"",0,0.0,-5,-5.0,-3,-2.9,2,2.0,-14488,-1.1,0,0.0,0,0.0,8,0.8
"18177","1","1021","73","0","2019","2","","Wayne County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,99,106,105,1478880,0,0,1101,"",3.12,0.71,0.76,0.76,0.96,0.00,0.00,1.29,"",1,8.3,-7,-6.6,1,1.0,3,2.9,4070,0.3,0,0.0,0,0.0,14,1.3
"18177","1","1025","73","0","2019","1","","Wayne County, Indiana","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,37,37,36,671606,0,0,1409,"",5.35,0.43,0.42,0.41,0.61,0.00,0.00,1.46,"",0,0.0,6,19.4,6,19.4,5,16.1,79086,13.3,0,0.0,0,0.0,-61,-4.1
"18177","1","1025","73","0","2019","2","","Wayne County, Indiana","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,37,36,36,784282,0,0,1660,"",5.32,0.43,0.41,0.42,0.60,0.00,0.00,1.44,"",0,0.0,8,27.6,7,24.1,6,20.0,178138,29.4,0,0.0,0,0.0,70,4.4
