"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18179","0","10","70","0","2019","1","","Wells County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",614,10692,10688,10802,103999246,62603268,865071,746,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-0.8,182,1.7,118,1.1,141,1.3,1147720,1.1,1214033,2.0,-64327,-6.9,-2,-0.3
"18179","0","10","70","0","2019","2","","Wells County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",617,10711,10818,10971,105709731,15947740,209322,751,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-0.6,34,0.3,-41,-0.4,173,1.6,5204362,5.2,264915,1.7,-18179,-8.0,34,4.7
"18179","1","10","71","0","2019","1","","Wells County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,51,52,53,551819,0,0,816,"",3.04,0.25,0.25,0.26,0.21,0.00,0.00,0.85,"",-1,-8.3,0,0.0,2,4.0,5,10.4,21909,4.1,0,0.0,0,0.0,-5,-0.6
"18179","1","10","71","0","2019","2","","Wells County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,50,52,52,603700,0,0,905,"",3.06,0.25,0.25,0.25,0.20,0.00,0.00,0.81,"",-1,-8.3,2,4.2,3,6.1,4,8.3,9382,1.6,0,0.0,0,0.0,-41,-4.3
"18179","1","102","72","0","2019","1","","Wells County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,51,52,53,551819,0,0,816,"",3.05,0.25,0.26,0.26,0.22,0.00,0.00,0.85,"",-1,-8.3,0,0.0,2,4.0,5,10.4,21909,4.1,0,0.0,0,0.0,-5,-0.6
"18179","1","102","72","0","2019","2","","Wells County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,50,52,52,603700,0,0,905,"",3.06,0.25,0.26,0.25,0.21,0.00,0.00,0.81,"",-1,-8.3,2,4.2,3,6.1,4,8.3,9382,1.6,0,0.0,0,0.0,-41,-4.3
"18179","1","1021","73","0","2019","1","","Wells County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,46,47,46,488441,0,0,811,"",4.39,0.93,0.95,0.93,1.07,0.00,0.00,1.14,"",-1,-11.1,-1,-2.1,1,2.2,2,4.5,16630,3.5,0,0.0,0,0.0,16,2.0
"18179","1","1021","73","0","2019","2","","Wells County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,44,46,46,541699,0,0,919,"",4.41,0.90,0.93,0.93,0.98,0.00,0.00,1.07,"",-1,-11.1,1,2.3,1,2.2,2,4.5,-1313,-0.2,0,0.0,0,0.0,-30,-3.2
"18179","1","1028","73","0","2019","1","","Wells County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,5,5,7,63378,0,0,860,"",2.06,0.05,0.05,0.06,0.04,0.00,0.00,0.79,"",0,0.0,1,25.0,1,25.0,3,75.0,5279,9.1,0,0.0,0,0.0,-257,-23.0
"18179","1","1028","73","0","2019","2","","Wells County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,6,6,6,62001,0,0,795,"",2.07,0.05,0.05,0.05,0.03,0.00,0.00,0.64,"",0,0.0,1,20.0,2,50.0,2,50.0,10695,20.8,0,0.0,0,0.0,-116,-12.7
"18179","1","48-49","74","0","2019","1","","Wells County, Indiana","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,46,47,46,488441,0,0,811,"",4.51,1.01,1.04,1.01,1.14,0.00,0.00,1.12,"",-1,-11.1,-1,-2.1,1,2.2,2,4.5,16630,3.5,0,0.0,0,0.0,16,2.0
